date,time,bar,moves,edge,open,close,day
2018-06-19,05:54:00,1,0,0,0,0,0
2018-06-19,06:04:00,2,16.5,1,1,0,1
2018-06-19,06:14:00,3,26.5,0,1,0,1
2018-06-19,06:24:00,4,24,0,1,0,1
2018-06-19,06:34:00,5,24,0,1,0,1
2018-06-19,06:44:00,6,24,0,1,0,1
2018-06-19,06:54:00,7,23.5,0,1,0,1
2018-06-19,07:04:00,8,24.5,0,1,0,1
2018-06-19,07:14:00,9,27.5,0,1,0,1
2018-06-19,07:24:00,10,27,0,1,0,1
2018-06-19,07:34:00,11,25,0,1,0,1
2018-06-19,07:44:00,12,25.5,0,1,0,1
2018-06-19,07:54:00,13,27,0,1,0,1
2018-06-19,08:04:00,14,27,0,1,0,1
2018-06-19,08:14:00,15,25,0,1,0,1
2018-06-19,08:24:00,16,24,0,1,0,1
2018-06-19,08:34:00,17,24,0,1,0,1
2018-06-19,08:44:00,18,23.5,0,1,0,1
2018-06-19,08:54:00,19,23,0,1,0,1
2018-06-19,09:04:00,20,23.5,0,1,0,1
2018-06-19,09:14:00,21,23,0,1,0,1
2018-06-19,09:24:00,22,23,0,1,0,1
2018-06-19,09:34:00,23,24,0,1,0,1
2018-06-19,09:44:00,24,23.5,0,1,0,1
2018-06-19,09:54:00,25,23,0,1,0,1
2018-06-19,10:04:00,26,24,0,1,0,1
2018-06-19,10:14:00,27,24.5,0,1,0,1
2018-06-19,10:24:00,28,24,0,1,0,1
2018-06-19,10:34:00,29,23,0,1,0,1
2018-06-19,10:44:00,30,22.5,0,1,0,1
2018-06-19,10:54:00,31,22.5,0,1,0,1
2018-06-19,11:04:00,32,23,0,1,0,1
2018-06-19,11:14:00,33,23,0,1,0,1
2018-06-19,11:24:00,34,26,0,1,0,1
2018-06-19,11:34:00,35,26,0,1,0,1
2018-06-19,11:44:00,36,22,0,1,0,1
2018-06-19,11:54:00,37,22,0,1,0,1
2018-06-19,12:04:00,38,22.5,0,1,0,1
2018-06-19,12:14:00,39,24,0,1,0,1
2018-06-19,12:24:00,40,23.5,0,1,0,1
2018-06-19,12:34:00,41,23,0,1,0,1
2018-06-19,12:44:00,42,24,0,1,0,1
2018-06-19,12:54:00,43,23.5,0,1,0,1
2018-06-19,13:04:00,44,24,0,1,0,1
2018-06-19,13:14:00,45,25,0,1,0,1
2018-06-19,13:24:00,46,25,0,1,0,1
2018-06-19,13:34:00,47,25,0,1,0,1
2018-06-19,13:44:00,48,26,0,1,0,1
2018-06-19,13:54:00,49,26.5,0,1,0,1
2018-06-19,14:04:00,50,26,0,1,0,1
2018-06-19,14:14:00,51,26.5,0,1,0,1
2018-06-19,14:24:00,52,26.5,0,1,0,1
2018-06-19,14:34:00,53,25.5,0,1,0,1
2018-06-19,14:44:00,54,25.5,0,1,0,1
2018-06-19,14:54:00,55,26.5,0,1,0,1
2018-06-19,15:04:00,56,27.5,0,1,0,1
2018-06-19,15:14:00,57,27.5,0,1,0,1
2018-06-19,15:24:00,58,26.5,0,1,0,1
2018-06-19,15:34:00,59,26.5,0,1,0,1
2018-06-19,15:44:00,60,26.5,0,1,0,1
2018-06-19,15:54:00,61,25.5,0,1,0,1
2018-06-19,16:04:00,62,25,0,1,0,1
2018-06-19,16:14:00,63,25,0,1,0,1
2018-06-19,16:24:00,64,24.5,0,1,0,1
2018-06-19,16:34:00,65,25,0,1,0,1
2018-06-19,16:44:00,66,25.5,0,1,0,1
2018-06-19,16:54:00,67,25,0,1,0,1
2018-06-19,17:04:00,68,26,0,1,0,1
2018-06-19,17:14:00,69,27,0,1,0,1
2018-06-19,17:24:00,70,26,0,1,0,1
2018-06-19,17:34:00,71,25.5,0,1,0,1
2018-06-19,17:44:00,72,25,0,1,0,1
2018-06-19,17:54:00,73,24,0,1,0,1
2018-06-19,18:04:00,74,24.5,0,1,0,1
2018-06-19,18:14:00,75,25,0,1,0,1
2018-06-19,18:24:00,76,24,0,1,0,1
2018-06-19,18:34:00,77,23,0,1,0,1
2018-06-19,18:44:00,78,22,0,1,0,1
2018-06-19,18:54:00,79,21.5,0,1,0,1
2018-06-19,19:04:00,80,23,0,1,0,1
2018-06-19,19:14:00,81,23,0,1,0,1
2018-06-19,19:24:00,82,21.5,0,1,0,1
2018-06-19,19:34:00,83,20.5,0,1,0,1
2018-06-19,19:44:00,84,21,0,1,0,1
2018-06-19,19:54:00,85,21,0,1,0,1
2018-06-19,20:04:00,86,21.5,0,1,0,1
2018-06-19,20:14:00,87,22.5,0,1,0,1
