date,V1
1COV GY Equity,0
A2A IM Equity,0
AAL LN Equity,0
AALB NA Equity,0
ABBN SE Equity,0
ABF LN Equity,0.000662204816943173
ABI BB Equity,0
ABN NA Equity,0.014519765408947
AC FP Equity,0
ACA FP Equity,0.00598805875746737
ACKB BB Equity,0
ACS SQ Equity,0
AD NA Equity,0
ADEN SE Equity,0
ADEN SW Equity,0.00749217926357775
ADM LN Equity,-0.00161699741732105
ADP FP Equity,0
ADS GY Equity,0
AENA SQ Equity,0
AF FP Equity,0
AGK LN Equity,0
AGM LN Equity,0.000964625595071732
AGN NA Equity,0
AGS BB Equity,-0.00481252987253449
AHT LN Equity,0.00542199867186443
AI FP Equity,-0.00413161628113815
AIBG ID Equity,0
AIR FP Equity,0
AKE FP Equity,0
AKERBP NO Equity,0
AKZA NA Equity,0
ALFA SS Equity,0
ALO FP Equity,0
ALT FP Equity,0
ALV GY Equity,0
AM FP Equity,0
AMBUB DC Equity,0
AMEAS FH Equity,0
AMS SE Equity,0
AMS SQ Equity,0
AMUN FP Equity,0
ANDR AV Equity,0
ANTO LN Equity,0
ARGX BB Equity,0
ARL GY Equity,0
ASCL LN Equity,0.00237610283472168
ASM NA Equity,0
ASML NA Equity,0.0108114616984524
ASRNL NA Equity,0
ASSAB SS Equity,0
AT1 GY Equity,0
ATC NA Equity,0
ATCOA SS Equity,0
ATE FP Equity,0
ATL IM Equity,0
ATO FP Equity,0
AUTO LN Equity,0
AV/ LN Equity,-0.00584876186621659
AZA SS Equity,0.00304525211501137
AZN LN Equity,0
B4B GY Equity,0
BA/ LN Equity,0.00208653492925757
BAB LN Equity,0
BAER SE Equity,0
BAER SW Equity,-0.00152084735084621
BALDB SS Equity,0
BALN SE Equity,0
BAMI IM Equity,0
BARC LN Equity,0.00492793560162822
BARN SE Equity,0
BAS GY Equity,0
BATS LN Equity,0
BAYN GY Equity,0.0117183497266984
BB FP Equity,0
BBA LN Equity,0
BBVA SM Equity,-0.00580504805781693
BBVA SQ Equity,0
BBY LN Equity,0.00642590444262786
BCP PL Equity,0
BDEV LN Equity,-0.00482049199169076
BEI GY Equity,0
BESI NA Equity,0
BEZ LN Equity,0
BG AV Equity,0.00679561567985296
BILL SS Equity,0
BIM FP Equity,0
BION SE Equity,0
BIRG ID Equity,0.0106739890467981
BKG LN Equity,-0.00153925933953549
BKIA SQ Equity,0
BKT SM Equity,-0.00512160966967066
BKT SQ Equity,0
BLND LN Equity,-0.00697196563043527
BLT LN Equity,0
BME LN Equity,0
BME SQ Equity,0
BMW GY Equity,0
BN FP Equity,0
BNP FP Equity,0
BNR GY Equity,0
BNZL LN Equity,-0.00392449802751794
BOKA NA Equity,0
BOL FP Equity,0
BOL SS Equity,0
BOSS GY Equity,0
BP/ LN Equity,0
BPE IM Equity,0
BRBY LN Equity,0
BT/A LN Equity,0
BTG LN Equity,0
BUCN SE Equity,0
BVI FP Equity,0
BVIC LN Equity,0
BWY LN Equity,0.00570499077511961
CA FP Equity,0
CABK SM Equity,-0.00818168759505204
CABK SQ Equity,0
CAC Index,-0.0339936718933341
CAP FP Equity,0.0171237400492043
CAPC LN Equity,0
CARLB DC Equity,-0.00870534690187474
CAST SS Equity,0
CBG LN Equity,0
CBK GY Equity,0.00598732452043859
CCH LN Equity,0
CCL LN Equity,0
CDI FP Equity,0
CERV IM Equity,0.0133381165054264
CEZ CK Equity,0
CFR SE Equity,0
CGG FP Equity,0.00444729284759025
CHR DC Equity,0
CINE LN Equity,0
CLN SE Equity,0
CLNX SQ Equity,0
CMBN SE Equity,0
CNA LN Equity,0
CNHI IM Equity,0
CNP FP Equity,0
CO FP Equity,0
COA LN Equity,0.00132421536849922
COB LN Equity,0
COFB BB Equity,0
COL SQ Equity,0
COLOB DC Equity,0
COLR BB Equity,-0.000946931023757574
CON GY Equity,0.0114720016570232
COV FP Equity,0
CPG LN Equity,0
CPI LN Equity,0
CPR IM Equity,0
CRDA LN Equity,-0.00669584715793369
CRH ID Equity,0.00584133308743892
CRH LN Equity,0
CS FP Equity,0
CSGN SE Equity,0
CSP LN Equity,0.00899241714542172
CTEC LN Equity,0
CYBG LN Equity,0
DAI GY Equity,0.00105006229933653
DANSKE DC Equity,0.00385540803657819
DAX Index,-0.00613582541945743
DB1 GY Equity,0
DBK GY Equity,0
DC/ LN Equity,0
DCC LN Equity,0
DEC FP Equity,0
DG FP Equity,0
DGE LN Equity,0
DHER GY Equity,0
DKSH SE Equity,0
DLG LN Equity,0
DLN LN Equity,0.00301052856532717
DMGT LN Equity,0
DMP GY Equity,0.00534511709651651
DNB NO Equity,-0.00606994342360442
DOKA SE Equity,0
DOM SS Equity,0
DPH LN Equity,0.00203195684416481
