Ticker,Outright,LookThrough,Sector
1COV GR Equity,0,-3,Chemicals
3IN LN Equity,0,-1.4,Equity Investment Instruments
888 LN Equity,0,-1,Travel & Leisure
9999996D US Equity,0,-2.1,General Retailers
A2A IM Equity,0,-1,Electricity
AA/ LN Equity,0,-0.9,Support Services
AAL LN Equity,0,-11.8,Mining
AAL US Equity,0,-2.1,Travel & Leisure
AALB NA Equity,0,-0.8,Industrial Engineering
AAPL US Equity,0,-2.1,Technology Hardware & Equipment
ABBN SW Equity,0,-7.5,Industrial Engineering
ABF LN Equity,6.6,-3.9,Food Producers
ABI BB Equity,0,-22.6,Beverages
ABN NA Equity,145.2,-1.9,Banks
AC FP Equity,0,-2.5,Travel & Leisure
ACA FP Equity,59.9,-6.3,Banks
ACS SM Equity,0,-3.8,Construction & Materials
ACX SM Equity,0,-0.4,Industrial Metals & Mining
AD NA Equity,0,-2.5,Food & Drug Retailers
ADBE US Equity,0,-2.1,Software & Computer Services
ADEN SW Equity,74.9,-1.7,Support Services
ADI US Equity,0,-4.2,Technology Hardware & Equipment
ADM LN Equity,-16.2,-3.1,Nonlife Insurance
ADP FP Equity,0,-1.1,Industrial Transportation
ADP US Equity,0,-2.1,Support Services
ADS GR Equity,0,-36.8,Personal Goods
ADSK US Equity,0,-2.1,Software & Computer Services
AENA SM Equity,0,-4.2,Industrial Transportation
AGK LN Equity,0,-2.2,Support Services
AGM LN Equity,9.6,0,Chemicals
AGN NA Equity,0,-2.7,Life Insurance
AGR LN Equity,0,-0.3,Real Estate Investment Trusts
AGS BB Equity,-48.1,-2.5,Life Insurance
AHT LN Equity,54.2,-6.7,Support Services
AI FP Equity,-41.3,-24.7,Chemicals
AIBG ID Equity,0,-0.6,Banks
AIR FP Equity,0,-37.3,Aerospace & Defense
AKE FP Equity,0,-1.1,Chemicals
AKZA NA Equity,0,-2.7,Chemicals
ALCRE FP Equity,0,-3.6,Real Estate Investment & Services
ALFA LN Equity,0,-0.2,Software & Computer Services
ALFA SS Equity,0,-1.2,Industrial Engineering
ALGN US Equity,0,-2.1,Health Care Equipment & Services
ALO FP Equity,0,-1.2,Industrial Engineering
ALV GR Equity,0,-34.9,Nonlife Insurance
ALXN US Equity,0,-2.1,Pharmaceuticals & Biotechnology
AM FP Equity,0,-0.7,Aerospace & Defense
AMAT US Equity,0,-4.2,Technology Hardware & Equipment
AMBUB DC Equity,0,-0.2,Health Care Equipment & Services
AMD US Equity,0,-2.1,Technology Hardware & Equipment
AMEAS FH Equity,0,-2.9,Leisure Goods
AMGN US Equity,0,-2.1,Pharmaceuticals & Biotechnology
AMS SM Equity,0,-10,Software & Computer Services
AMZN US Equity,0,-2.1,General Retailers
ANA SM Equity,0,-0.5,Construction & Materials
ANDR AV Equity,0,-0.6,Industrial Engineering
ANTO LN Equity,0,-2.4,Mining
ARGX BB Equity,0,-0.1,Pharmaceuticals & Biotechnology
ARL GR Equity,0,-0.4,Financial Services
ASCL LN Equity,23.8,-2.4,Media
ASHM LN Equity,0,-1.9,Financial Services
ASL LN Equity,0,-1.5,Equity Investment Instruments
ASML NA Equity,108.1,-7,Technology Hardware & Equipment
ASML US Equity,0,-4.2,Technology Hardware & Equipment
ASRNL NA Equity,0,-1.5,Nonlife Insurance
ASSAB SS Equity,0,-4.4,Construction & Materials
ATC NA Equity,0,-0.1,Fixed Line Telecommunications
ATCOA SS Equity,0,-3.1,Industrial Engineering
ATL IM Equity,0,-11.1,Industrial Transportation
ATO FP Equity,0,-3.3,Software & Computer Services
ATST LN Equity,0,-2.9,Equity Investment Instruments
ATVI US Equity,0,-2.1,Leisure Goods
AUTO LN Equity,0,-9.3,Media
AV/ LN Equity,-58.5,-11.1,Life Insurance
AVGO US Equity,0,-4.2,Technology Hardware & Equipment
AVV LN Equity,0,-2.3,Software & Computer Services
AZA SS Equity,30.5,0,Financial Services
AZM IM Equity,0,-1,Financial Services
AZN LN Equity,0,-28,Pharmaceuticals & Biotechnology
B4B GR Equity,0,-0.3,Food & Drug Retailers
BA/ LN Equity,20.9,-12.4,Aerospace & Defense
BAB LN Equity,0,-5.1,Support Services
BAER SW Equity,-15.2,0,Banks
BAG LN Equity,0,-0.6,Beverages
BAKK LN Equity,0,-0.3,Food Producers
BALN SW Equity,0,-0.9,Nonlife Insurance
BAMI IM Equity,0,-3.2,Banks
BARC LN Equity,49.3,-15.7,Banks
BARN SW Equity,0,-0.1,Food Producers
BAS GR Equity,0,-23.1,Chemicals
BATS LN Equity,0,-32.9,Tobacco
BAYN GR Equity,0,-17.1,Pharmaceuticals & Biotechnology
BAYN GY Equity,117.2,0,Pharmaceuticals & Biotechnology
BB FP Equity,0,-1.9,Household Goods & Home Construction
BBA LN Equity,0,-5.4,Industrial Transportation
BBOX LN Equity,0,-1.1,Real Estate Investment Trusts
BBVA SM Equity,-58.1,-16.8,Banks
BBY LN Equity,64.3,-3.1,Construction & Materials
BCA LN Equity,0,-2.3,Support Services
BCP PL Equity,0,-0.4,Banks
BDEV LN Equity,-48.2,-3.2,Household Goods & Home Construction
BEI GR Equity,0,-9.4,Personal Goods
BEZ LN Equity,0,-4.6,Nonlife Insurance
BG AV Equity,68,0,Banks
BGEO LN Equity,0,-1.1,Banks
BGFD LN Equity,0,-0.9,Equity Investment Instruments
BGN IM Equity,0,-0.8,Financial Services
BIDU US Equity,0,-2.1,Software & Computer Services
BIIB US Equity,0,-2.1,Pharmaceuticals & Biotechnology
BIM FP Equity,0,-0.1,Health Care Equipment & Services
BION SW Equity,0,-0.1,Pharmaceuticals & Biotechnology
BIRG ID Equity,106.7,-1.1,Banks
BKG LN Equity,-15.4,-2.9,Household Goods & Home Construction
BKIA SM Equity,0,-1.5,Banks
BKNG US Equity,0,-2.1,Travel & Leisure
BKT SM Equity,-51.2,-2.1,Banks
BLND LN Equity,-69.7,1.6,Real Estate Investment Trusts
BLT LN Equity,0,-25,Mining
BME LN Equity,0,-7.2,General Retailers
BMED IM Equity,0,-0.9,Life Insurance
BMRN US Equity,0,-2.1,Pharmaceuticals & Biotechnology
BMW GR Equity,0,-20.4,Automobiles & Parts
BN FP Equity,0,-25.5,Food Producers
BNKR LN Equity,0,-1.2,Equity Investment Instruments
BNP FP Equity,0,-34.4,Banks
BNR GR Equity,0,-2.4,Chemicals
BNZL LN Equity,-39.2,-4.6,Support Services
BOKA NA Equity,0,-0.5,Construction & Materials
BOL FP Equity,0,-0.7,Industrial Transportation
BOSS GR Equity,0,-5.3,Personal Goods
BOY LN Equity,0,-2.5,Industrial Engineering
BP/ LN Equity,0,-42.5,Oil & Gas Producers
BPE IM Equity,0,-1.6,Banks
BRBY LN Equity,0,-3.4,Personal Goods
BRE IM Equity,0,-1.2,Automobiles & Parts
BRW LN Equity,0,-1.1,Financial Services
BT/A LN Equity,0,-8.1,Fixed Line Telecommunications
BTEM LN Equity,0,-1,Equity Investment Instruments
BTG LN Equity,0,-2.7,Pharmaceuticals & Biotechnology
BUCN SW Equity,0,-0.4,Industrial Engineering
BVI FP Equity,0,-1.2,Support Services
BVIC LN Equity,0,-2.9,Beverages
