date,ABC,AC,DH,GJ,IB,JR,MC
1COV GY Equity,0,0,0,0,0,0,0
A2A IM Equity,0,0,0,0,0,0,0
AAL LN Equity,0,0,0,0,0,0,0
AALB NA Equity,0,0,0,0,0,0,0
ABBN SE Equity,0,0,0,0,0,0,0
ABF LN Equity,0,0.000662204816943173,0,0,0,0,0
ABI BB Equity,0,0,0,0,0,0,0
ABN NA Equity,0,0,0,0,0,0.014519765408947,0
AC FP Equity,0,0,0,0,0,0,0
ACA FP Equity,0,0,0,0,0,0.00598805875746737,0
ACKB BB Equity,0,0,0,0,0,0,0
ACS SQ Equity,0,0,0,0,0,0,0
AD NA Equity,0,0,0,0,0,0,0
ADEN SE Equity,0,0,0,0,0,0,0
ADEN SW Equity,0,0,0.00749217926357775,0,0,0,0
ADM LN Equity,0,0,0,0,0,-0.00161699741732105,0
ADP FP Equity,0,0,0,0,0,0,0
ADS GY Equity,0,0,0,0,0,0,0
AENA SQ Equity,0,0,0,0,0,0,0
AF FP Equity,0,0,0,0,0,0,0
AGK LN Equity,0,0,0,0,0,0,0
AGM LN Equity,0,0,0,0,0,0,0.000964625595071732
AGN NA Equity,0,0,0,0,0,0,0
AGS BB Equity,0,0,0,0,0,-0.00481252987253449,0
AHT LN Equity,0,0,0,0,0,0,0.00542199867186443
AI FP Equity,-0.00413161628113815,0,0,0,0,0,0
AIBG ID Equity,0,0,0,0,0,0,0
AIR FP Equity,0,0,0,0,0,0,0
AKE FP Equity,0,0,0,0,0,0,0
AKERBP NO Equity,0,0,0,0,0,0,0
AKZA NA Equity,0,0,0,0,0,0,0
ALFA SS Equity,0,0,0,0,0,0,0
ALO FP Equity,0,0,0,0,0,0,0
ALT FP Equity,0,0,0,0,0,0,0
ALV GY Equity,0,0,0,0,0,0,0
AM FP Equity,0,0,0,0,0,0,0
AMBUB DC Equity,0,0,0,0,0,0,0
AMEAS FH Equity,0,0,0,0,0,0,0
AMS SE Equity,0,0,0,0,0,0,0
AMS SQ Equity,0,0,0,0,0,0,0
AMUN FP Equity,0,0,0,0,0,0,0
ANDR AV Equity,0,0,0,0,0,0,0
ANTO LN Equity,0,0,0,0,0,0,0
ARGX BB Equity,0,0,0,0,0,0,0
ARL GY Equity,0,0,0,0,0,0,0
ASCL LN Equity,0.00237610283472168,0,0,0,0,0,0
ASM NA Equity,0,0,0,0,0,0,0
ASML NA Equity,0,0,0,0.0108114616984524,0,0,0
ASRNL NA Equity,0,0,0,0,0,0,0
ASSAB SS Equity,0,0,0,0,0,0,0
AT1 GY Equity,0,0,0,0,0,0,0
ATC NA Equity,0,0,0,0,0,0,0
ATCOA SS Equity,0,0,0,0,0,0,0
ATE FP Equity,0,0,0,0,0,0,0
ATL IM Equity,0,0,0,0,0,0,0
ATO FP Equity,0,0,0,0,0,0,0
AUTO LN Equity,0,0,0,0,0,0,0
AV/ LN Equity,-0.00488757794091026,0,0,0,0,-0.000961183925306328,0
AZA SS Equity,0.00304525211501137,0,0,0,0,0,0
AZN LN Equity,0,0,0,0,0,0,0
B4B GY Equity,0,0,0,0,0,0,0
BA/ LN Equity,0,0.00208653492925757,0,0,0,0,0
BAB LN Equity,0,0,0,0,0,0,0
BAER SE Equity,0,0,0,0,0,0,0
BAER SW Equity,-0.00152084735084621,0,0,0,0,0,0
BALDB SS Equity,0,0,0,0,0,0,0
BALN SE Equity,0,0,0,0,0,0,0
BAMI IM Equity,0,0,0,0,0,0,0
BARC LN Equity,0,0,0,0,0,0,0.00492793560162822
BARN SE Equity,0,0,0,0,0,0,0
BAS GY Equity,0,0,0,0,0,0,0
BATS LN Equity,0,0,0,0,0,0,0
BAYN GY Equity,0,0,0.0117183497266984,0,0,0,0
BB FP Equity,0,0,0,0,0,0,0
BBA LN Equity,0,0,0,0,0,0,0
BBVA SM Equity,0,0,-0.00580504805781693,0,0,0,0
BBVA SQ Equity,0,0,0,0,0,0,0
BBY LN Equity,0.00642590444262786,0,0,0,0,0,0
BCP PL Equity,0,0,0,0,0,0,0
BDEV LN Equity,0,0,0,0,0,0,-0.00482049199169076
BEI GY Equity,0,0,0,0,0,0,0
BESI NA Equity,0,0,0,0,0,0,0
BEZ LN Equity,0,0,0,0,0,0,0
BG AV Equity,0,0,0,0,0,0.00679561567985296,0
BILL SS Equity,0,0,0,0,0,0,0
BIM FP Equity,0,0,0,0,0,0,0
BION SE Equity,0,0,0,0,0,0,0
BIRG ID Equity,0.00626491233844124,0,0,0,0,0.00440907670835683,0
BKG LN Equity,0,-0.00153925933953549,0,0,0,0,0
BKIA SQ Equity,0,0,0,0,0,0,0
BKT SM Equity,0,0,-0.00431342771951031,0,0,-0.000808181950160355,0
BKT SQ Equity,0,0,0,0,0,0,0
BLND LN Equity,0,-0.00697196563043527,0,0,0,0,0
BLT LN Equity,0,0,0,0,0,0,0
BME LN Equity,0,0,0,0,0,0,0
BME SQ Equity,0,0,0,0,0,0,0
BMW GY Equity,0,0,0,0,0,0,0
BN FP Equity,0,0,0,0,0,0,0
BNP FP Equity,0,0,0,0,0,0,0
BNR GY Equity,0,0,0,0,0,0,0
BNZL LN Equity,0,0,0,0,0,0,-0.00392449802751794
BOKA NA Equity,0,0,0,0,0,0,0
BOL FP Equity,0,0,0,0,0,0,0
BOL SS Equity,0,0,0,0,0,0,0
BOSS GY Equity,0,0,0,0,0,0,0
BP/ LN Equity,0,0,0,0,0,0,0
BPE IM Equity,0,0,0,0,0,0,0
BRBY LN Equity,0,0,0,0,0,0,0
BT/A LN Equity,0,0,0,0,0,0,0
BTG LN Equity,0,0,0,0,0,0,0
BUCN SE Equity,0,0,0,0,0,0,0
BVI FP Equity,0,0,0,0,0,0,0
BVIC LN Equity,0,0,0,0,0,0,0
BWY LN Equity,0,0.00570499077511961,0,0,0,0,0
CA FP Equity,0,0,0,0,0,0,0
