date,ABC,AC,DH,GJ,IB,JR,MC
2016-07-05,-0.000544515754610606,-0.000239249473977498,-0.000438066590525818,-0.00039857220555931,1.90995453833942e-05,-0.00214167601292707,0.000584436175040895
2016-07-06,0.00040398947296998,0.000117159230704529,-0.000669595838672852,9.41370758688184e-05,-9.13619174772824e-06,-0.00117317526135104,0.00365907867095093
2016-07-07,-0.000114462766660909,-0.000520327028137415,-0.000499122060200492,-0.000674387503014588,0.000153997843400995,0.000604865794732614,-0.00100444947676446
2016-07-08,-0.000334404958178436,0.000497629449702685,0.000690051153808673,-0.000304770509900406,-0.000214125337026848,0.00252145024948172,-0.000543529435734318
2016-07-09,0,0,0,0,0,0,0
2016-07-10,0,0,0,0,0,0,0
2016-07-11,0.000104752631633057,-0.00016799649667744,0.000152006985696622,5.65272333870217e-05,4.50068848323946e-05,0.00058022124938253,0.000494465903550542
2016-07-12,-0.000123444636353213,-0.000318571018943988,0.000271095573541559,-0.000619614304592805,-7.05862532930469e-05,0.00227993197148114,0.000433541322129751
2016-07-13,-9.92001892835979e-05,0.000115567530134304,0.000933635627003738,0.000364184091652454,0.000244155465997188,0.000881654932736523,0.00040984961200771
2016-07-14,0.000418204189284035,-0.000198829325942461,-6.43159497178398e-05,0.000808179249037372,-0.000112468686537155,0.00100299304609011,-2.60516382364466e-05
2016-07-15,-0.000280437431822518,0.000106544471108009,7.95202039675847e-05,-0.000378094402569914,-1.54975910408229e-05,-0.00063219978776658,-5.83504243254935e-05
2016-07-16,0,0,0,0,0,0,0
2016-07-17,0,0,0,0,0,0,0
2016-07-18,0.000262795746488067,-0.000373379976824751,3.66028948593333e-05,-0.000322431852508837,0.000104161220161478,0.000864713295598292,-0.00023660427376829
2016-07-19,7.28567790239287e-05,0.000400412642457651,-9.1804858017519e-05,0.000482841033558295,-6.2783240005494e-05,0.000156976367383247,0.000709880600929027
2016-07-20,0.000308332589681292,0.000232884799825028,-0.000205922967950766,0.000891169930409986,4.6072265647582e-05,0.000463471238583169,-0.000362476258960277
