Manager,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
ABC,1COV GR Equity,0,-2.3,Chemicals,Chemicals,Basic Materials,-2.026316,SX4P Index,0.5173808
ABC,3IN LN Equity,0,-0.4,Equity Investment Instruments,Financial Services,Financials,0.1999556,SXFP Index,0.905816
ABC,888 LN Equity,0,-0.2,Travel & Leisure,Travel & Leisure,Consumer Services,3.257576,SXTP Index,0.6633038
ABC,A2A IM Equity,0,0,Electricity,Utilities,Utilities,2.43735,SX6P Index,1.683118
ABC,AA/ LN Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,-2.402884,SXNP Index,0.650126
ABC,AAL LN Equity,0,-1.2,Mining,Basic Resources,Basic Materials,-0.2554744,SXPP Index,-0.653875
ABC,AALB NA Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,0.07473841,SXNP Index,0.650126
ABC,ABBN SW Equity,0,-1.2,Industrial Engineering,Industrial Goods & Services,Industrials,0.327562,SXNP Index,0.650126
ABC,ABF LN Equity,0,-0.7,Food Producers,Food & Beverage,Consumer Goods,0.1838235,SX3P Index,1.030116
ABC,ABI BB Equity,0,-2.8,Beverages,Food & Beverage,Consumer Goods,0.9249624,SX3P Index,1.030116
ABC,ABN NA Equity,0,-1.1,Banks,Banks,Financials,-0.3153153,SX7P Index,0.6701741
ABC,ACA FP Equity,0,-1.5,Banks,Banks,Financials,0.3514938,SX7P Index,0.6701741
ABC,ACS SM Equity,0,-2.3,Construction & Materials,Construction & Materials,Industrials,1.520468,SXOP Index,0.8841428
ABC,AD NA Equity,0,-1.1,Food & Drug Retailers,Retail,Consumer Services,0.07401925,SXRP Index,0.6456596
ABC,ADEN SW Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,0.4126548,SXNP Index,0.650126
ABC,ADM LN Equity,0,-0.3,Nonlife Insurance,Insurance,Financials,-0.02639219,SXIP Index,1.062417
ABC,ADP FP Equity,0,-0.2,Industrial Transportation,Industrial Goods & Services,Industrials,0.5167959,SXNP Index,0.650126
ABC,ADS GR Equity,0,-7.1,Personal Goods,Personal & Household Goods,Consumer Goods,0.08132285,SXQP Index,1.072337
ABC,AENA SM Equity,0,-0.4,Industrial Transportation,Industrial Goods & Services,Industrials,0.6231551,SXNP Index,0.650126
ABC,AGK LN Equity,0,-0.6,Support Services,Industrial Goods & Services,Industrials,-0.3640777,SXNP Index,0.650126
ABC,AGN NA Equity,0,-1.3,Life Insurance,Insurance,Financials,0.3138486,SXIP Index,1.062417
ABC,AGR LN Equity,0,-0.4,Real Estate Investment Trusts,Real Estate,Financials,-1.225919,SX86P Index,0.3669621
ABC,AGS BB Equity,0,-1.2,Life Insurance,Insurance,Financials,-2.450518,SXIP Index,1.062417
ABC,AHT LN Equity,0,-1.2,Support Services,Industrial Goods & Services,Industrials,0.2266546,SXNP Index,0.650126
ABC,AI FP Equity,-41.3,-8.7,Chemicals,Chemicals,Basic Materials,0.4207574,SX4P Index,0.5173808
ABC,AIBG ID Equity,0,-0.4,Banks,Banks,Financials,0.4674883,SX7P Index,0.6701741
ABC,AIR FP Equity,0,-7.7,Aerospace & Defense,Industrial Goods & Services,Industrials,0.05117184,SXNP Index,0.650126
ABC,AKE FP Equity,0,-1.1,Chemicals,Chemicals,Basic Materials,1.495513,SX4P Index,0.5173808
ABC,AKZA NA Equity,0,-2.7,Chemicals,Chemicals,Basic Materials,0.1912046,SX4P Index,0.5173808
ABC,ALCRE FP Equity,0,-0.8,Real Estate Investment & Services,Real Estate,Financials,0,SX86P Index,0.3669621
