Pair,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
ABC1,1COV GR Equity,0,-3.2,Chemicals,Chemicals,Basic Materials,1.644126,SX4P Index,0.7524279
ABC1,AI FP Equity,0,-10.4,Chemicals,Chemicals,Basic Materials,1.051188,SX4P Index,0.7524279
ABC1,AKE FP Equity,0,-1.6,Chemicals,Chemicals,Basic Materials,1.510721,SX4P Index,0.7524279
ABC1,AKZA NA Equity,0,-4.2,Chemicals,Chemicals,Basic Materials,0.1613337,SX4P Index,0.7524279
ABC1,BAS GR Equity,0,-16.9,Chemicals,Chemicals,Basic Materials,0.4474543,SX4P Index,0.7524279
ABC1,BNR GR Equity,0,-1.7,Chemicals,Chemicals,Basic Materials,0.4486134,SX4P Index,0.7524279
ABC1,DSM NA Equity,59.9,-3.5,Chemicals,Chemicals,Basic Materials,1.839503,SX4P Index,0.7524279
ABC1,EVK GR Equity,0,-1,Chemicals,Chemicals,Basic Materials,1.288572,SX4P Index,0.7524279
ABC1,FPE3 GR Equity,0,-0.7,Chemicals,Chemicals,Basic Materials,0.8372093,SX4P Index,0.7524279
ABC1,IMCD NA Equity,0,-0.7,Chemicals,Chemicals,Basic Materials,1.589958,SX4P Index,0.7524279
ABC1,KYG ID Equity,-2.5,0,Food Producers,Food & Beverage,Consumer Goods,-1.032609,SX3P Index,0.2192515
ABC1,LINU GR Equity,0,-7.8,Chemicals,Chemicals,Basic Materials,-0.1401214,SX4P Index,0.7524279
ABC1,LXS GR Equity,0,-1.2,Chemicals,Chemicals,Basic Materials,0.2642396,SX4P Index,0.7524279
ABC1,SDF GR Equity,0,-0.9,Chemicals,Chemicals,Basic Materials,0.7611798,SX4P Index,0.7524279
ABC1,SOLB BB Equity,0,-1.8,Chemicals,Chemicals,Basic Materials,0.9813084,SX4P Index,0.7524279
ABC1,SY1 GR Equity,0,-2.1,Chemicals,Chemicals,Basic Materials,-0.2547771,SX4P Index,0.7524279
ABC1,UMI BB Equity,0,-2.3,Chemicals,Chemicals,Basic Materials,1.564405,SX4P Index,0.7524279
ABC1,WCH GR Equity,0,-0.4,Chemicals,Chemicals,Basic Materials,4.934498,SX4P Index,0.7524279
ABC11,1COV GR Equity,0,-0.2,Chemicals,Chemicals,Basic Materials,1.644126,SX4P Index,0.7524279
ABC11,ADS GR Equity,0,-0.6,Personal Goods,Personal & Household Goods,Consumer Goods,1.456844,SXQP Index,0.5819758
ABC11,AI FP Equity,-32.8,0,Chemicals,Chemicals,Basic Materials,1.051188,SX4P Index,0.7524279
ABC11,ALV GR Equity,0,-1.3,Nonlife Insurance,Insurance,Financials,0.1654533,SXIP Index,0.0144087
ABC11,BAS GR Equity,0,-1.3,Chemicals,Chemicals,Basic Materials,0.4474543,SX4P Index,0.7524279
ABC11,BAYN GR Equity,0,-1.4,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.4242681,SXDP Index,0.646873
