date,ABC1,ABC11,ABC23,ABC24,ABC27,ABC28,ABC29,ABC32,ABC33,ABC34,ABC35,ABC36,ABC37,ABC38,ABC5,ABC6,ABC7,ABC8,ABC9,AC101,AC102,AC104,AC106,AC107,AC108,AC111,AC53,AC57,AC67,AC71,AC94,AC95,AC96,AC98,AC99,DH16,DH32,DH38,DH42,DH48,DH51,DH52,DH56,DH58,DH59,DH61,GJ13,GJ15,GJ16,GJ17,GJ18,GJ19,GJ22,GJ4,GJ7,GJ9,IB113,JR10,JR14,JR15,JR16,JR17,JR18,JR22,JR28,JR32,JR33,JR5,MC110,MC114,MC122,MC127,MC129,MC130,MC132,MC133,MC140,MC143,MC145,MC148,MC149,MC151,MC152,MC53,MC79,MC89
2016-07-11,0.00014980821983338,0.000118034657917609,0.000147639342422362,0.000176003558660549,0.000175702925969146,2.91506268358101e-05,0.000151276115110637,0.000139715847151374,7.77346350782436e-05,9.61794216051949e-05,6.6345043683108e-05,0.000106005799591492,0.0001239235343499,9.51037524628377e-05,0.000152911260698177,9.10841504793028e-05,0.000137512687924189,0.000258752755059438,0.000212335070331371,7.6476191380061e-05,5.1222966204543e-05,0.000149133860611001,4.34437861374489e-05,8.63945127150196e-05,7.73769006308087e-05,4.25161709734387e-05,5.86034720393651e-05,0.00042648381948667,0.000480688356235634,9.83067028167998e-06,0.000110706874949481,0.000140453405956917,0.0001895577815011,0.000263915805815843,0.000103840356315621,5.88536593234086e-05,2.52251022185375e-05,9.35393274072701e-05,0.000257327057111721,6.87205903979797e-05,0.0001881279850188,0.000207131489604199,0.000109304865911986,0.00010932771242194,4.04313237730844e-05,2.07112849575388e-05,0.000243812612686178,0.000112091813364107,0,0.000158648966839139,0.000200564993094867,0.000259759239191949,0.000360319078603069,4.88782633133294e-05,0.000192432430382304,0.000134514939534761,0.000546868122213988,0.000360000634609371,0.000199326249367683,0.000117602914532771,4.36420290382478e-05,9.66293231301249e-05,0.00012124062068486,0.000304593295086521,0.000263485184095948,0.000239917594608583,0.000299623633838093,5.40350861360694e-05,0.000148440045697169,3.53035037835672e-05,0.000168082774608894,0.000164858618921687,0.000194059114721093,0.000152303836838783,0.000230257198489601,0.000166322365936194,6.05939996025265e-05,0.000152648401540524,0.000103559950377439,2.62028106389304e-05,0.000134289404524518,9.709597140114e-05,4.84687087128894e-06,0.00010805631042293,0.000712526851301737,3.2753513298663e-05
2016-07-12,4.55362605623524e-05,6.41068107170845e-05,0.000141406893433194,0.000129271011349528,4.71873664760395e-05,5.37569780924171e-06,0.000264998763818422,0.000105253110177913,7.38075211216072e-05,2.85502102425918e-05,0.000207156168639528,8.63294236507749e-05,0.000244559713294711,2.74735171304739e-05,0.00033997737307718,-2.46192919847482e-05,3.58591605568918e-05,4.77168681943928e-05,4.33798984319299e-05,-7.92950007619871e-06,-1.18969942231662e-06,8.10958864678199e-05,-1.01099261308934e-05,0.000162904221325739,2.26038654348195e-05,-2.7291635205276e-05,-3.28466150116941e-05,5.47729215113103e-05,0.000119964275331994,-2.28326151757735e-07,2.04155714553225e-05,2.02407466076428e-05,9.79994539746129e-05,0.000165904176707136,1.57158529191288e-05,2.21107398378307e-05,4.07285557780284e-05,0.000120838883388793,0.000147528018692678,-6.13126917683345e-06,0.000470300243968095,0.000656596244141218,0.000318224984902307,0.000123220698874551,-1.04192330769387e-05,3.65908313113951e-05,0.000219373798782865,9.97134982576176e-05,0,7.35629598093097e-05,7.08601358092466e-06,0.000194293928021063,0.000140814476271134,4.22413042178447e-05,-1.63771883947624e-05,0.000314965879841918,0.000358520207393146,-3.75623573506611e-05,-0.000458293499128699,0.000293976704850702,7.11267392292284e-05,7.02466912006546e-05,-5.01653795060192e-05,0.000130215183513923,0.000184804728440526,7.415386756755e-05,0.000421307779581288,5.85705493061449e-05,0.00017493585192449,8.75107799502476e-06,7.54302360943714e-05,4.71682047323631e-05,5.18484943724384e-05,2.80865110258134e-05,4.24619725831115e-05,0.00012295768540177,1.11742033113451e-05,2.59229990718731e-05,-7.17796756433151e-05,4.83208791841952e-06,2.47644505819e-05,-1.73709443726217e-05,-7.53271400751374e-05,2.67851374232668e-05,0.000290113483649122,6.0401098980244e-06
2016-07-13,1.34474479244911e-06,2.68977757537825e-06,-6.56902615423653e-06,-7.30843398383526e-05,2.43171110830597e-05,-2.9750999325956e-06,-0.000109476921476524,-6.70812535454666e-05,-3.17420378456172e-05,-4.76349742856729e-06,1.30326736233844e-05,-4.82135800091197e-06,-7.40403571831574e-05,3.53285026755112e-06,-8.91549285594891e-05,-9.77043305968726e-06,0.000133083316265505,-2.64081904129273e-05,1.94692893456517e-05,2.78044083317032e-05,-5.63734495497722e-06,-1.18370107920914e-05,4.47328580104859e-06,5.38916870079548e-05,-1.42469785449355e-05,-2.15239632490474e-06,-8.77571801450955e-05,-6.18810686485278e-06,2.18288890384959e-05,-1.08191468832896e-06,-1.12986941260372e-05,-1.37036684942859e-05,-4.20872233983399e-05,-1.87569977122486e-05,-3.99901248382666e-05,4.59594202596636e-06,-6.35426083118145e-06,-5.53885127996175e-06,6.36180377266075e-05,1.89773656530186e-05,-0.000137173621727855,-8.93343034173395e-06,-7.62596632206439e-05,-0.000107029988896375,1.66778820346236e-06,-3.7494651924983e-05,1.02331391932883e-05,5.69936810658493e-06,0,1.28746539511049e-05,2.03777906084976e-05,-9.53130121560971e-05,-1.89401139882238e-05,-2.17339407342013e-05,2.184630060991e-05,-0.000128485074575052,-0.000319987888226248,-5.16357926493261e-05,-0.000101204308527821,-5.16414829446588e-05,-1.04356331173369e-05,-1.62945278366837e-05,3.3455778676514e-05,-0.000125725241974061,-8.7039092114724e-05,-8.0133184017723e-05,-0.000165302214705071,1.66270576931374e-05,-3.87938019067723e-05,-2.23095473076621e-06,-6.235472028795e-05,-1.69656245338345e-05,-3.15136327891904e-05,-1.55440614455838e-05,-2.34999466585923e-05,2.62015165111142e-05,-6.18419648910322e-06,-8.55317445981942e-06,5.5955846937603e-05,-2.67424713042302e-06,-1.3705516543418e-05,1.24719751745733e-05,1.75541703146844e-05,-6.82846491399499e-06,-0.00013087513528333,-3.34280891302877e-06
2016-07-14,0.000110158499447312,6.47195482117627e-05,0.000100003843955585,9.05039013840462e-05,3.14271959119932e-05,2.12851227561413e-06,0.000162481860995417,4.1179677628426e-05,3.42818715623102e-05,-1.21671997675961e-05,4.37028293216653e-05,3.52298669875555e-05,0.000145301108904981,2.70894620679172e-05,0.000203264085798637,-4.62683418607522e-06,-2.67084931412068e-05,1.88935359296085e-05,4.55996402895505e-05,-1.97521288994859e-05,-8.74154529382182e-06,8.55472433370133e-05,9.734650476443e-06,-1.53755441354299e-05,-1.56929055347384e-06,0,-3.30959251825609e-05,0.000132185916923931,-1.74090458709491e-05,-1.6776703089153e-06,8.08356347368062e-06,3.25357272183742e-05,1.91898168035852e-05,9.83052406491601e-05,1.71198283630506e-06,2.42203929263434e-05,1.5577536091704e-05,3.99915609321985e-05,9.90725424758312e-05,-1.31339472272044e-05,0.000287731805818096,0.000291980488247047,0.000189082664303821,0.000139349188264033,-1.48696668924378e-05,3.97383264332495e-05,-2.25016764428547e-05,7.37419357808472e-05,0,8.09820531120576e-05,2.83147126525561e-05,0.000169033612455801,0.000145504951239286,5.66073802346534e-05,3.33661352016183e-05,0.000181496710244818,0.000217501612907496,-1.50824624371842e-05,9.70315545459746e-05,0.000139922056752871,3.72656999860642e-05,2.84403847963533e-05,1.25763978516123e-05,0.000100993452669073,0.000111883675337768,0.000165208604662158,0.00028618351715346,2.58807064225956e-05,0.000117844315849032,3.60046287267887e-06,6.25622677560785e-05,2.40497330267108e-05,2.68666846835524e-05,1.11208787433772e-05,1.68128553905251e-05,1.92563672181071e-05,4.42443562908555e-06,1.13174349253248e-05,-3.55623414261419e-05,1.91326946122618e-06,9.80550598878418e-06,-8.30232924384556e-06,-5.02430096568434e-05,1.10202300661589e-05,4.86015669987448e-05,2.39158682653273e-06
2016-07-15,1.75792143637526e-05,3.71476865203324e-05,-2.23771511803969e-05,-2.50218210645178e-06,-1.48225087219774e-05,-3.22934385487139e-06,-1.80489936189963e-05,-3.02223778012246e-06,-1.62226596808577e-05,3.06128853169383e-05,-5.61981303339282e-05,4.93677732194513e-06,-3.52170153297768e-05,-3.23634951450809e-07,-4.63282945055423e-05,1.88277244770436e-05,-0.000104616095656498,-2.86649623072854e-05,1.84138046970716e-05,-2.37936160350969e-05,8.12656220782431e-06,-3.06526350313697e-06,3.63079195680748e-06,4.77201246539299e-05,1.11699973176341e-05,5.930949586206e-06,2.58036026847085e-05,3.40165371376021e-05,9.59862882395533e-05,1.55964325200669e-06,-1.22642496960284e-05,3.19338976080208e-07,4.18028979998088e-05,-8.3986556920516e-07,5.69664157757405e-07,-2.85307809753348e-06,-4.19408153960598e-06,-1.45194528098081e-05,-1.83847122623413e-05,-2.07041460323878e-05,-0.000111049287476991,-5.23150812937798e-05,-1.66123343463169e-05,-7.26261834378558e-05,-5.76784018700703e-06,-2.2842662529164e-05,-1.99749754074749e-05,-1.88727959511579e-05,0,2.71307112769412e-05,4.01687477941443e-05,-2.39069267899964e-05,-0.000100840201351323,-1.21733591510853e-05,7.70919150828583e-05,-3.24077428554098e-05,-9.49979189523546e-06,7.66720224233776e-05,-2.4145355305133e-06,-1.44177861661894e-05,-2.70620271010218e-05,-1.88207371336111e-05,1.43808640484505e-05,-2.51126621648125e-05,-3.82822969954959e-05,3.69751088130763e-05,-9.554438974969e-05,-3.83554240378433e-05,-2.47758011042856e-05,-2.70966161631524e-06,6.61145177691069e-09,-2.8793005669767e-05,-1.3240047451844e-05,-1.68724145226427e-05,-2.55081879772426e-05,-9.0482765175405e-05,-6.71268104664278e-06,-1.7364859548089e-05,2.63994401983621e-05,-2.90278099314282e-06,-1.4876752589857e-05,1.25710921279698e-05,3.09774847731567e-05,-8.2936820817753e-06,-5.37125493251428e-06,-3.62847624142853e-06
2016-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,-6.242856951898e-06,-1.28788495266656e-06,-1.82750105402692e-05,-1.18868800873923e-06,8.48863402720701e-06,7.48726049003745e-06,3.71275783369713e-05,-2.69237153817304e-05,5.04748790206987e-05,-0.000124016138847792,4.97771394961863e-05,-8.73602715433385e-06,3.34138520679749e-05,1.01546717774974e-06,1.74416644198194e-06,-9.27262506052945e-06,3.04198309357434e-05,6.64599526643774e-05,7.13126421924391e-05,1.19505239858066e-05,1.43679084079777e-05,-4.95986980102119e-06,-5.23509537958288e-06,-6.51234152753871e-05,7.87305016327121e-06,1.12628467867517e-05,-5.15137140553419e-05,4.93555319929105e-05,0.000146260314727903,2.75747737122804e-06,2.84347645576703e-05,2.16125712385971e-05,1.66899946153276e-05,3.87703796906252e-05,3.19086687419968e-05,-3.78851353934774e-06,-1.30317908938379e-06,-1.13448344892066e-05,2.76548304496892e-05,1.13566502414631e-05,0.000123045721766495,-0.00010834505138614,-5.04879401289804e-05,-6.84702735857724e-05,-7.65405007242637e-06,-2.13547580029699e-05,5.79737515339924e-05,-2.14871266339776e-05,0,-4.06461883177739e-05,-6.60187600707266e-06,0.000209268150584204,7.5316571504927e-05,5.46414961481427e-05,-2.83895166833966e-05,9.38967901474969e-06,7.1272673377264e-05,0.000148629787033866,-3.84222124442098e-05,-6.20641888577911e-05,1.8618674645503e-05,3.35124680278234e-05,9.13206203670152e-06,4.71261762700832e-05,9.68065150111708e-05,0.000100261375484823,8.6787421211242e-05,4.04903775465366e-05,1.53559200213274e-05,8.29833869996542e-06,8.49589555385647e-06,-1.9708678308314e-05,6.2245039331806e-05,3.91188328973867e-05,5.91409452190599e-05,2.27185185734517e-05,1.55634066365947e-05,3.89673287199604e-05,-1.17485963479827e-05,6.73012178879771e-06,3.44918741675883e-05,6.38043505055263e-05,-7.13654526016082e-06,2.53994013754368e-05,0.000221126119812042,8.41265223599714e-06
2016-07-19,-5.6641917855936e-05,-3.84279056427989e-05,-5.36370715302704e-05,-6.27275653141502e-06,1.23883137412421e-05,2.04108804970877e-06,-9.10658345148272e-05,7.80191063731471e-06,-3.62883614858443e-05,0,-5.68480580905776e-05,0.000197350129231203,-8.03546834067958e-05,5.22948450008001e-06,-8.72802396169675e-05,7.15218779047986e-06,-2.692133587e-05,1.81175231378644e-05,3.02225456640626e-05,-7.9499633022018e-06,1.06523855967427e-06,-3.50087673865585e-05,8.88465111911287e-06,8.46427752788146e-06,-9.16813711017722e-06,6.37113725080722e-06,0.000147653948695832,0.000162376780917142,2.52620393888228e-05,2.04439723573849e-07,7.75154787417488e-06,-9.7760374955169e-05,-8.39218940454839e-06,-0.00014330291626755,8.9262336530491e-06,3.79589855599364e-06,-7.7433083101758e-06,-3.49509253107881e-05,-4.34193982160291e-05,-1.05164666034401e-05,-0.000188732065693511,1.4090526176165e-05,-2.67531793377286e-05,8.46163256543179e-06,-1.89413933346982e-05,2.86952087345251e-06,-6.89789382658689e-05,-4.03026744679934e-05,0,-2.95606817666374e-05,-9.02843221056114e-05,-1.83283702075484e-05,-0.000141045901193517,-2.98159086454118e-05,-4.90068051533221e-05,-5.90415006294747e-05,1.4176985353859e-05,3.87962488080743e-05,5.80424666468116e-05,-3.69430104574801e-05,-2.41470601818546e-05,-2.31669055238336e-05,2.8908036166915e-05,5.6097489721999e-06,-4.60767410831025e-06,3.94576977524055e-05,-0.000113396627536519,-1.58882370153194e-05,-4.35980787097049e-05,2.45450181411222e-06,-2.7630307492345e-06,-8.84625783307353e-05,1.70199894510689e-05,1.06641117203885e-05,1.61223022353401e-05,-4.43874882957001e-05,4.24271111456317e-06,1.07714269134733e-05,2.65440371989843e-05,1.83468588737867e-06,9.40276517281568e-06,-1.22530657838568e-05,-8.79675589951466e-06,7.51269368574146e-06,5.53568294069514e-05,2.29335735922334e-06
2016-07-20,2.23134643331085e-05,2.52458653753549e-05,0.000100575578960432,0.000117941218871943,2.79870325973826e-05,5.94306319368873e-06,0.000101509458269907,1.31447297105141e-05,6.1338492602123e-05,-4.01713789832304e-05,4.72738021304152e-05,5.67566063842747e-05,0.000165578558581923,4.1254593465478e-05,0.000103505701801362,1.44727588379338e-05,2.40566181871537e-05,5.2753032842855e-05,6.18492203270498e-05,5.57367118259258e-05,1.72817568392516e-05,9.85649240547144e-05,2.00978876740904e-05,5.34795134935536e-05,2.12712135362389e-05,5.27894229352599e-06,-2.56010381708792e-05,0.000231000079651593,0.000163608537069024,3.31670080753314e-06,2.25702849378291e-05,7.83481143461629e-06,6.19063566580102e-05,2.56739393513122e-06,1.275539351661e-05,2.7107934434891e-05,1.79178706320702e-05,8.85445393186576e-05,3.10930364543158e-05,4.99369712598371e-05,0.000291015885194852,0.000259778131890843,0.000119111820365304,-3.67999048256384e-05,6.39940573307327e-05,-1.86959115297633e-05,0.000194584054180194,7.29086576313353e-05,0,0.000115004818315166,0.000218037958260253,0.000219321353541632,0.000419218744503235,9.84034201081174e-05,0.000194758781061369,6.00872705671364e-05,8.4928624226665e-05,0.000198205865774542,0.000122962922840896,0.000101161730332154,3.44074344570134e-05,5.23801140604809e-05,6.71371156276327e-05,7.16333208731424e-05,0.000185760423100955,0.00021357283350376,0.00016011428544394,7.45744443060154e-05,0.000133671960407631,1.00031674668971e-05,9.93531850414114e-05,-8.78610632361995e-05,4.08098259955539e-05,3.10508357872501e-05,4.69435216310469e-05,5.63882573292793e-05,1.23535583239597e-05,3.24416893722872e-05,3.62625477494174e-05,5.34207927522583e-06,2.73781562855324e-05,6.78003014655447e-05,6.06252273754566e-06,3.06175096852205e-05,0.000142518480944662,6.67759909403228e-06
