index,ticker
SX8P Index,ALT FP Equity
SX8P Index,AMS SE Equity
SX8P Index,ASM NA Equity
SX8P Index,ASML NA Equity
SX8P Index,ATE FP Equity
SX8P Index,ATO FP Equity
SX8P Index,BESI NA Equity
SX8P Index,CAP FP Equity
SX8P Index,DSY FP Equity
SX8P Index,ERICB SS Equity
SX8P Index,G24 GY Equity
SX8P Index,GTO NA Equity
SX8P Index,HEXAB SS Equity
SX8P Index,IFX GY Equity
SX8P Index,ILD FP Equity
SX8P Index,ING FP Equity
SX8P Index,LOGN SE Equity
SX8P Index,MCRO LN Equity
SX8P Index,NOKIA FH Equity
SX8P Index,SAP GY Equity
SX8P Index,SGE LN Equity
SX8P Index,SIM DC Equity
SX8P Index,SOP FP Equity
SX8P Index,SOW GY Equity
SX8P Index,STM IM Equity
SX8P Index,TEMN SE Equity
SX8P Index,UTDI GY Equity
SX8P Index,WAF GY Equity
SX5E Index,ABI BB Equity
SX5E Index,AD NA Equity
SX5E Index,ADS GY Equity
SX5E Index,AI FP Equity
SX5E Index,AIR FP Equity
SX5E Index,ALV GY Equity
SX5E Index,ASML NA Equity
SX5E Index,BAS GY Equity
SX5E Index,BAYN GY Equity
SX5E Index,BBVA SQ Equity
SX5E Index,BMW GY Equity
SX5E Index,BN FP Equity
SX5E Index,BNP FP Equity
SX5E Index,CRH ID Equity
SX5E Index,CS FP Equity
SX5E Index,DAI GY Equity
SX5E Index,DBK GY Equity
SX5E Index,DG FP Equity
SX5E Index,DPW GY Equity
SX5E Index,DTE GY Equity
SX5E Index,EI FP Equity
SX5E Index,ENEL IM Equity
SX5E Index,ENGI FP Equity
SX5E Index,ENI IM Equity
SX5E Index,EOAN GY Equity
SX5E Index,FP FP Equity
SX5E Index,FRE GY Equity
SX5E Index,GLE FP Equity
SX5E Index,IBE SQ Equity
SX5E Index,INGA NA Equity
SX5E Index,ISP IM Equity
SX5E Index,ITX SQ Equity
SX5E Index,MC FP Equity
SX5E Index,MUV2 GY Equity
SX5E Index,NOKIA FH Equity
SX5E Index,OR FP Equity
SX5E Index,ORA FP Equity
SX5E Index,PHIA NA Equity
SX5E Index,SAF FP Equity
SX5E Index,SAN FP Equity
SX5E Index,SAN SQ Equity
SX5E Index,SAP GY Equity
SX5E Index,SGO FP Equity
SX5E Index,SIE GY Equity
SX5E Index,SU FP Equity
SX5E Index,TEF SQ Equity
SX5E Index,UNA NA Equity
SX5E Index,URW NA Equity
SX5E Index,VIV FP Equity
SX5E Index,VOW3 GY Equity
SX7E Index,ABN NA Equity
SX7E Index,ACA FP Equity
SX7E Index,AIBG ID Equity
SX7E Index,BAMI IM Equity
SX7E Index,BBVA SQ Equity
SX7E Index,BCP PL Equity
SX7E Index,BIRG ID Equity
SX7E Index,BKIA SQ Equity
SX7E Index,BKT SQ Equity
SX7E Index,BNP FP Equity
SX7E Index,BPE IM Equity
SX7E Index,CABK SQ Equity
SX7E Index,CBK GY Equity
SX7E Index,DBK GY Equity
SX7E Index,EBS AV Equity
SX7E Index,FBK IM Equity
SX7E Index,GLE FP Equity
SX7E Index,INGA NA Equity
SX7E Index,ISP IM Equity
SX7E Index,KBC BB Equity
SX7E Index,KN FP Equity
SX7E Index,MB IM Equity
SX7E Index,RBI AV Equity
SX7E Index,SAB SQ Equity
SX7E Index,SAN SQ Equity
SX7E Index,UBI IM Equity
SX7E Index,UCG IM Equity
SX7P Index,ABN NA Equity
SX7P Index,ACA FP Equity
SX7P Index,AIBG ID Equity
SX7P Index,BAER SE Equity
SX7P Index,BAMI IM Equity
SX7P Index,BARC LN Equity
SX7P Index,BBVA SQ Equity
SX7P Index,BCP PL Equity
SX7P Index,BIRG ID Equity
SX7P Index,BKIA SQ Equity
SX7P Index,BKT SQ Equity
SX7P Index,BNP FP Equity
SX7P Index,BPE IM Equity
SX7P Index,CABK SQ Equity
SX7P Index,CBG LN Equity
SX7P Index,CBK GY Equity
SX7P Index,CMBN SE Equity
SX7P Index,CSGN SE Equity
SX7P Index,CYBG LN Equity
SX7P Index,DANSKE DC Equity
SX7P Index,DBK GY Equity
SX7P Index,DNB NO Equity
SX7P Index,EBS AV Equity
SX7P Index,FBK IM Equity
SX7P Index,GLE FP Equity
SX7P Index,HSBA LN Equity
SX7P Index,INGA NA Equity
SX7P Index,ISP IM Equity
SX7P Index,JYSK DC Equity
SX7P Index,KBC BB Equity
SX7P Index,KN FP Equity
SX7P Index,KOMB CK Equity
SX7P Index,LLOY LN Equity
SX7P Index,MB IM Equity
SX7P Index,MTRO LN Equity
SX7P Index,NDA SS Equity
SX7P Index,RBI AV Equity
SX7P Index,RBS LN Equity
SX7P Index,SAB SQ Equity
SX7P Index,SAN SQ Equity
SX7P Index,SEBA SS Equity
SX7P Index,SHBA SS Equity
SX7P Index,STAN LN Equity
SX7P Index,SWEDA SS Equity
SX7P Index,SYDB DC Equity
SX7P Index,UBI IM Equity
SX7P Index,UBSG SE Equity
SX7P Index,UCG IM Equity
SXIP Index,ADM LN Equity
SXIP Index,AGN NA Equity
SXIP Index,AGS BB Equity
SXIP Index,ALV GY Equity
SXIP Index,ASRNL NA Equity
SXIP Index,AV/ LN Equity
SXIP Index,BALN SE Equity
SXIP Index,BEZ LN Equity
SXIP Index,CNP FP Equity
SXIP Index,CS FP Equity
SXIP Index,DLG LN Equity
SXIP Index,G IM Equity
SXIP Index,GJF NO Equity
SXIP Index,HELN SE Equity
SXIP Index,HNR1 GY Equity
SXIP Index,HSX LN Equity
SXIP Index,LGEN LN Equity
SXIP Index,MAP SQ Equity
SXIP Index,MUV2 GY Equity
SXIP Index,NN NA Equity
SXIP Index,OMU LN Equity
SXIP Index,PHNX LN Equity
SXIP Index,PRU LN Equity
SXIP Index,PST IM Equity
SXIP Index,RSA LN Equity
SXIP Index,SAMPO FH Equity
SXIP Index,SCR FP Equity
SXIP Index,SLHN SE Equity
SXIP Index,SREN SE Equity
SXIP Index,STB NO Equity
SXIP Index,STJ LN Equity
SXIP Index,TRYG DC Equity
SXIP Index,ZURN SE Equity
SXIE Index,AGN NA Equity
SXIE Index,AGS BB Equity
SXIE Index,ALV GY Equity
SXIE Index,ASRNL NA Equity
SXIE Index,CNP FP Equity
SXIE Index,CS FP Equity
SXIE Index,G IM Equity
SXIE Index,HNR1 GY Equity
SXIE Index,MAP SQ Equity
SXIE Index,MUV2 GY Equity
SXIE Index,NN NA Equity
SXIE Index,PST IM Equity
SXIE Index,SAMPO FH Equity
SXIE Index,SCR FP Equity
