ABI BB Equity,ABN NA Equity,ACA FP Equity,AD NA Equity,ADM LN Equity,ADS GY Equity,AGN NA Equity,AGS BB Equity,AI FP Equity,AIBG ID Equity,AIR FP Equity,ALT FP Equity,ALV GY Equity,AMS SE Equity,ASM NA Equity,ASML NA Equity,ASRNL NA Equity,ATE FP Equity,ATO FP Equity,AV/ LN Equity,BAER SE Equity,BALN SE Equity,BAMI IM Equity,BARC LN Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BCP PL Equity,BESI NA Equity,BEZ LN Equity,BIRG ID Equity,BKIA SQ Equity,BKT SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,BPE IM Equity,CABK SQ Equity,CAP FP Equity,CBG LN Equity,CBK GY Equity,CMBN SE Equity,CNP FP Equity,CRH ID Equity,CS FP Equity,CSGN SE Equity,CYBG LN Equity,DAI GY Equity,DANSKE DC Equity,DBK GY Equity,DG FP Equity,DLG LN Equity,DNB NO Equity,DPW GY Equity,DSY FP Equity,DTE GY Equity,EBS AV Equity,EI FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,EOAN GY Equity,ERICB SS Equity,FBK IM Equity,FP FP Equity,FRE GY Equity,G IM Equity,G24 GY Equity,GJF NO Equity,GLE FP Equity,GTO NA Equity,HELN SE Equity,HEXAB SS Equity,HNR1 GY Equity,HSBA LN Equity,HSX LN Equity,IBE SQ Equity,IFX GY Equity,ILD FP Equity,ING FP Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,JYSK DC Equity,KBC BB Equity,KN FP Equity,KOMB CK Equity,LGEN LN Equity,LLOY LN Equity,LOGN SE Equity,MAP SQ Equity,MB IM Equity,MC FP Equity,MCRO LN Equity,MTRO LN Equity,MUV2 GY Equity,NDA SS Equity,NN NA Equity,NOKIA FH Equity,OMU LN Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,PHNX LN Equity,PRU LN Equity,PST IM Equity,RBI AV Equity,RBS LN Equity,RSA LN Equity,SAB SQ Equity,SAF FP Equity,SAMPO FH Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SCR FP Equity,SEBA SS Equity,SGE LN Equity,SGO FP Equity,SHBA SS Equity,SIE GY Equity,SIM DC Equity,SLHN SE Equity,SOP FP Equity,SOW GY Equity,SREN SE Equity,STAN LN Equity,STB NO Equity,STJ LN Equity,STM IM Equity,SU FP Equity,SWEDA SS Equity,SYDB DC Equity,TEF SQ Equity,TEMN SE Equity,TRYG DC Equity,UBI IM Equity,UBSG SE Equity,UCG IM Equity,UNA NA Equity,URW NA Equity,UTDI GY Equity,VIV FP Equity,VOW3 GY Equity,WAF GY Equity,ZURN SE Equity
82.18,21.81,11.575,20.18,1866,189.25,5.25,43.31,108.55,4.804,99.8,12.99,175.58,84.88,50.62,176.15,34.88,87.7,119.6,503.6,57.88,145.1,2.3585,191.86,84.43,96.96,5.823,0.261,28.12,585,6.62,3.219,8.36,83.31,63.51,53.24,4.26,3.642,115.1,1456,8.669,78.2,19.42,31.42,21.375,14.895,299.2,60.66,211.1,9.311,83.04,347.2,157.25,29.69,124.9,13.41,34.91,117.95,4.757,13.095,15.398,9.174,68.02,9.25,51.92,67.06,14.395,44.46,128.2,35.95,50.08,558,503.8,109.5,717.1,1506,6.478,24.2,137.5,73.74,12.466,2.5165,29.05,336.2,64.94,6.076,914,262.3,60.87,43.73,2.529,7.906,290.05,1333,3232,179.35,83.3,35.54,5.086,160,207.2,14.365,35.69,774,1806,7.236,26.86,252.2,662.8,1.3975,99.22,41.25,67.47,4.5625,100.2,31.71,80.78,643.8,39.935,95.58,116.5,523.5,339.6,180,42.42,86.26,701.2,68.1,1184.5,21.71,72.98,186,216,7.295,146.3,147.6,3.173,14.97,14.056,46.3,189.7,56.36,21.27,152.36,133.25,292.6
82.37,21.85,11.625,20.285,1869.5,190.85,5.244,43.28,108.5,4.834,99.98,13.01,175.64,85.02,50.78,177.1,34.84,87.95,119.85,504,57.86,145.3,2.3715,192.22,84.56,97.09,5.841,0.2615,28,584,6.63,3.233,8.39,83.42,63.73,53.37,4.29,3.646,115.25,1460,8.707,78.15,19.42,31.47,21.35,14.89,300.2,60.78,210.5,9.329,83.36,347.6,157.05,29.81,125,13.41,35.03,118.35,4.765,13.135,15.382,9.201,68.04,9.34,51.9,67.5,14.405,44.7,128.2,36.04,50.06,558.5,503,109.5,717.5,1499,6.482,24.26,136.85,73.82,12.486,2.5225,29.1,337.2,65.1,6.08,914,262.5,61.16,43.95,2.533,7.934,291.5,1330,3236,179.3,83.32,35.58,5.092,160,207.2,14.38,35.805,773.5,1799,7.288,27.32,252.9,664,1.399,99.7,41.32,67.67,4.585,100.16,31.74,81.02,644,40.03,95.66,116.58,525.5,339.2,180.6,42.09,86.04,702.2,67.96,1190,21.63,72.98,185.9,216.8,7.317,146.7,147.6,3.187,14.96,14.122,46.49,190,56.56,21.35,151.88,133.7,292.8
82.7,21.95,11.635,20.28,1868.5,190.05,5.248,43.34,108.4,4.838,100.06,13.02,175.78,84.7,50.68,177.75,34.88,87.75,120.3,505.2,57.88,145.4,2.3825,192.54,84.54,96.91,5.85,0.2613,28,583.5,6.615,3.234,8.41,83.39,63.84,53.34,4.281,3.652,115.5,1467,8.72,78.3,19.45,31.39,21.37,14.9,299,60.75,210.3,9.307,83.44,347.9,157.2,29.91,125.05,13.4,35.13,118.1,4.766,13.14,15.376,9.202,68.18,9.328,51.89,67.64,14.41,44.62,128.2,36.07,50.02,558,504.8,109.4,718.2,1501,6.466,24.31,136.6,73.92,12.51,2.5235,29.16,337.8,65.2,6.074,915,263.2,61.25,43.91,2.532,7.95,291.9,1337,3236,179.45,83.6,35.67,5.102,160,207.4,14.37,35.8,773,1802.5,7.294,27.5,253.4,663.8,1.4055,99.62,41.44,67.57,4.588,100.28,31.73,81.04,645.2,40.015,95.68,116.16,527,339.6,180.8,42.07,86.26,705.2,68.1,1189,21.54,72.94,186.05,216.6,7.319,146.9,147.9,3.181,14.96,14.16,46.48,189.6,56.74,21.33,152.48,134.25,293.9
83.04,21.98,11.66,20.28,1871.5,190.25,5.258,43.4,108.6,4.84,100.06,13.01,175.92,84.42,50.64,177.35,34.9,87.5,120.5,506.2,57.98,145.6,2.3915,193.24,84.73,97.14,5.872,0.2612,28.04,583.5,6.62,3.244,8.416,83.66,64.05,53.43,4.302,3.664,115.75,1469,8.781,78.5,19.46,31.4,21.365,14.96,300.2,60.82,210.4,9.367,83.66,348.4,157.2,29.86,125.1,13.405,35.07,118,4.763,13.14,15.398,9.211,68.12,9.33,51.88,67.8,14.415,44.66,128.1,36.145,50.02,560,506.4,109.6,718.5,1502,6.478,24.17,136.8,74.2,12.508,2.528,29.15,338.1,65.3,6.074,915.5,263.6,61.25,43.93,2.538,7.988,292.7,1330.5,3244,179.85,83.84,35.71,5.118,160,207.5,14.37,35.77,776.5,1807.5,7.288,27.62,253.6,664.8,1.41,99.66,41.45,67.65,4.592,100.42,31.72,81.38,646.2,40.05,95.92,116.32,527,339.9,181.2,42.04,86.22,706.1,67.98,1190,21.45,73.06,186.7,217,7.337,147,147.8,3.189,14.98,14.184,46.54,189.8,56.66,21.35,152.68,134.15,293.6
82.34,21.92,11.62,20.285,1870.5,190,5.238,43.22,108.35,4.85,100.12,13,175.08,84.5,50.7,177.1,34.84,87.75,120.15,505,57.84,145.4,2.381,192.84,84.55,97,5.842,0.2611,28.1,585,6.63,3.233,8.406,83.55,63.9,53.26,4.278,3.649,115.6,1471,8.737,78.65,19.42,31.29,21.32,14.87,300.2,60.57,209.7,9.28,83.4,347.2,157.2,29.85,125.1,13.34,35.01,118.15,4.752,13.14,15.352,9.215,68.04,9.318,51.88,67.64,14.37,44.76,128,36.04,50.04,558.5,505.4,109.2,719.1,1501,6.464,24.13,136.75,74.02,12.446,2.512,29.14,336.8,65.08,6.08,913.5,262.9,61.27,43.93,2.526,7.956,291.3,1326.5,3242,178.6,83.44,35.65,5.1,160,207.6,14.33,35.665,775,1805.5,7.256,27.29,254.5,665,1.405,99.66,41.35,67.56,4.5625,100.38,31.63,81.04,645,40.005,95.44,116.08,526,338.9,181,42.07,85.76,705,67.82,1187.5,21.55,72.96,185.95,216.2,7.307,146.8,147.5,3.18,14.915,14.116,46.61,189.55,56.64,21.34,152.1,133.95,292.5
82.58,21.88,11.63,20.305,1872,189.85,5.254,43.27,108.35,4.85,100.12,13,175.14,84.52,50.7,177,34.9,87.6,120.35,505.6,57.86,145.3,2.399,192.66,84.57,96.94,5.854,0.2614,28.2,585,6.66,3.235,8.408,83.64,63.83,53.3,4.302,3.647,115.65,1471,8.724,78.75,19.43,31.33,21.335,14.87,299.6,60.56,209.6,9.295,83.52,347.2,157.35,29.83,125.2,13.335,35.03,118.25,4.747,13.125,15.368,9.215,68.02,9.352,51.85,67.8,14.41,44.84,128.1,36.115,50.02,558,504.8,109.2,719.6,1500,6.48,24.15,136.5,73.9,12.46,2.52,29.18,336.7,65.22,6.072,913,263.4,61.37,43.94,2.531,7.972,290.7,1333.5,3250,178.85,83.48,35.69,5.102,160,207.7,14.325,35.67,774,1809.5,7.3,27.53,254.5,665,1.408,99.74,41.35,67.57,4.5775,100.3,31.61,81.14,646,40.05,95.6,116.1,526,339.2,181.1,41.98,85.78,705.2,68.02,1188,21.52,73,186.1,215.8,7.315,146.9,147.8,3.191,14.91,14.156,46.62,189.85,56.62,21.31,152.1,133.95,292.9
82.47,21.9,11.635,20.28,1874.5,189.75,5.256,43.33,108.35,4.858,99.99,13.02,175.16,84.36,50.68,176.85,34.9,88.15,120.4,505.8,57.86,145.5,2.4115,192.68,84.51,96.76,5.865,0.2615,28.16,585.5,6.67,3.24,8.414,83.58,63.73,53.28,4.342,3.645,115.6,1471,8.732,78.55,19.48,31.28,21.33,14.825,299.8,60.45,209.6,9.308,83.5,347.8,157.25,29.78,125.05,13.34,35.01,118.35,4.747,13.14,15.356,9.194,68,9.372,51.81,67.66,14.425,44.82,128.2,36.14,50.02,559,504,109.3,718.9,1504,6.474,24.09,136.75,74.1,12.468,2.518,29.19,337.3,65.36,6.082,914,263.5,61.44,43.86,2.532,7.976,290.8,1334,3244,179,83.3,35.76,5.114,160,207.3,14.34,35.625,775.5,1810,7.312,27.45,255.1,665.4,1.409,99.6,41.37,67.57,4.572,100.34,31.64,80.82,645.2,40.03,95.4,115.84,525.5,338.8,181.3,42.02,85.7,707.1,68,1189.5,21.46,73,185.8,216.4,7.31,146.6,147.6,3.201,14.885,14.192,46.61,190.05,56.64,21.29,151.48,133.45,292.7
82.43,21.9,11.625,20.255,1871.5,189.85,5.252,43.32,108.2,4.89,99.84,13.01,175.14,84.4,50.68,176.65,34.82,88.25,120.65,505.2,57.86,145.5,2.424,193.06,84.58,96.7,5.851,0.2619,28.16,585.5,6.66,3.24,8.418,83.77,63.73,53.24,4.342,3.648,115.45,1470,8.722,78.55,19.44,31.26,21.29,14.835,299.8,60.58,209.9,9.31,83.42,347.7,157.4,29.88,125.05,13.36,35.07,118.45,4.754,13.13,15.362,9.16,68.04,9.38,51.78,67.8,14.465,45.02,128.1,36.095,50.02,558.5,503.8,109.1,717.3,1504,6.454,24.09,136.8,74.08,12.46,2.5185,29.18,337.6,65.34,6.086,915.5,263.5,61.44,43.85,2.524,7.972,290.75,1326.5,3242,179.1,83.24,35.71,5.11,160,207.5,14.32,35.64,775.5,1807,7.316,27.33,255.1,664.8,1.411,99.44,41.26,67.57,4.568,100.44,31.59,80.76,643.8,40.005,95.28,116.06,526.5,338.7,181.5,42.1,85.68,707.6,68.02,1189,21.44,72.96,185.8,215.8,7.314,146.7,147.6,3.209,14.865,14.206,46.585,190.05,56.68,21.29,152.04,133.55,292.4
82.58,21.9,11.61,20.23,1870,189.95,5.244,43.29,108.05,4.86,99.83,13.03,174.94,84.46,50.7,176.8,34.84,88.2,120.8,505.2,57.78,145.3,2.424,192.96,84.61,96.65,5.844,0.2614,28.12,584,6.655,3.235,8.416,83.66,63.74,53.2,4.32,3.659,115.55,1472,8.699,78.55,19.43,31.23,21.255,14.815,299.6,60.5,209.7,9.297,83.36,346.8,157.25,29.87,125.05,13.35,35,118.55,4.758,13.14,15.354,9.157,68.16,9.366,51.7,67.78,14.445,44.94,128,36.06,50.02,558,504.4,109,717.4,1501,6.454,24.16,137.05,74.04,12.442,2.5175,29.13,337,65.22,6.074,915,263,61.36,43.99,2.522,7.976,290.3,1326,3248,178.8,83.18,35.68,5.112,160,207.2,14.3,35.63,774.5,1805,7.286,27.2,254.2,664.8,1.4085,99.38,41.18,67.54,4.5655,100.58,31.53,80.64,644.6,39.95,95.34,116.16,528,338.2,181.6,42.17,85.72,706.4,68.02,1188,21.42,72.94,186,215.8,7.305,146.9,147.5,3.201,14.86,14.178,46.57,189.55,56.84,21.27,151.94,133.5,292.4
82.72,21.91,11.6,20.235,1871,189.95,5.244,43.3,108.15,4.864,100,13.04,174.92,84.82,50.68,176.5,34.84,88.35,120.65,505.4,57.78,145.4,2.4245,192.66,84.57,96.62,5.841,0.2615,28.2,583.5,6.645,3.225,8.416,83.59,63.76,53.14,4.323,3.656,115.35,1473,8.703,78.5,19.43,31.27,21.24,14.795,299.8,60.48,209.8,9.305,83.5,347.2,157.2,29.89,125.05,13.32,35.04,118.65,4.758,13.13,15.368,9.14,68.02,9.322,51.7,67.72,14.445,44.88,127.7,36.035,50.02,558,503.4,109,716.9,1501,6.446,24.24,136.8,73.98,12.43,2.5145,29.12,336.7,65.28,6.068,914.5,262.8,61.23,44.03,2.525,7.976,290.5,1325.5,3250,178.9,83.04,35.66,5.1,160,207.6,14.28,35.625,774,1806,7.274,27.32,254,665.2,1.408,99.42,41.12,67.44,4.564,100.52,31.45,80.5,645,39.975,95.2,116.14,527,338.1,181.8,42.19,85.78,705.1,67.92,1189.5,21.4,73.06,185.5,215.8,7.3,146.3,147.6,3.196,14.83,14.164,46.55,189.95,56.78,21.32,152.1,133.65,292.2
