ABI BB Equity,ABN NA Equity,ACA FP Equity,AD NA Equity,ADM LN Equity,ADS GY Equity,AGN NA Equity,AGS BB Equity,AI FP Equity,AIBG ID Equity,AIR FP Equity,ALT FP Equity,ALV GY Equity,AMS SE Equity,ASM NA Equity,ASML NA Equity,ASRNL NA Equity,ATE FP Equity,ATO FP Equity,AV/ LN Equity,BAER SE Equity,BALN SE Equity,BAMI IM Equity,BARC LN Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BCP PL Equity,BESI NA Equity,BEZ LN Equity,BIRG ID Equity,BKIA SQ Equity,BKT SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,BPE IM Equity,CABK SQ Equity,CAP FP Equity,CBG LN Equity,CBK GY Equity,CMBN SE Equity,CNP FP Equity,CRH ID Equity,CS FP Equity,CSGN SE Equity,CYBG LN Equity,DAI GY Equity,DANSKE DC Equity,DBK GY Equity,DG FP Equity,DLG LN Equity,DNB NO Equity,DPW GY Equity,DSY FP Equity,DTE GY Equity,EBS AV Equity,EI FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,EOAN GY Equity,ERICB SS Equity,FBK IM Equity,FP FP Equity,FRE GY Equity,G IM Equity,G24 GY Equity,GJF NO Equity,GLE FP Equity,GTO NA Equity,HELN SE Equity,HEXAB SS Equity,HNR1 GY Equity,HSBA LN Equity,HSX LN Equity,IBE SQ Equity,IFX GY Equity,ILD FP Equity,ING FP Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,JYSK DC Equity,KBC BB Equity,KN FP Equity,KOMB CK Equity,LGEN LN Equity,LLOY LN Equity,LOGN SE Equity,MAP SQ Equity,MB IM Equity,MC FP Equity,MCRO LN Equity,MTRO LN Equity,MUV2 GY Equity,NDA SS Equity,NN NA Equity,NOKIA FH Equity,OMU LN Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,PHNX LN Equity,PRU LN Equity,PST IM Equity,RBI AV Equity,RBS LN Equity,RSA LN Equity,SAB SQ Equity,SAF FP Equity,SAMPO FH Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SCR FP Equity,SEBA SS Equity,SGE LN Equity,SGO FP Equity,SHBA SS Equity,SIE GY Equity,SIM DC Equity,SLHN SE Equity,SOP FP Equity,SOW GY Equity,SREN SE Equity,STAN LN Equity,STB NO Equity,STJ LN Equity,STM IM Equity,SU FP Equity,SWEDA SS Equity,SYDB DC Equity,TEF SQ Equity,TEMN SE Equity,TRYG DC Equity,UBI IM Equity,UBSG SE Equity,UCG IM Equity,UNA NA Equity,URW NA Equity,UTDI GY Equity,VIV FP Equity,VOW3 GY Equity,WAF GY Equity,ZURN SE Equity
82.45,21.96,11.665,20.27,1870,191.3,5.254,43.47,108.8,5.01,100.28,13.22,176.04,85.3,51.5,177.8,35.2,88.8,120.35,504.8,58.12,145.8,2.3605,192.16,84.8,97.6,5.85,0.2621,28.5,588.5,6.66,3.23,8.412,83.58,63.76,53.27,4.265,3.65,115.95,1466,8.75,79.05,19.49,31.63,21.4,14.955,300.8,60.82,211.7,9.3,83.22,347.9,157.15,29.8,124.75,13.5,35.2,118.55,4.783,13.135,15.402,9.211,67.94,9.314,51.81,67.92,14.4,44.98,128.1,36.01,50.1,561,504,109.6,718.9,1510,6.504,24.43,137.1,74.26,12.474,2.5175,29.2,340.1,65.02,6.1,912,264.1,61.04,44.5,2.535,7.924,290,1354.5,3234,180,83,35.58,5.13,160,206.7,14.41,35.975,775,1812,7.284,27.08,252.6,666.6,1.408,100.15,41.12,67.68,4.5635,100.88,32,81,651.4,40.145,95.36,117.04,529,341,183,42.64,86.26,704.5,68.48,1189.5,21.75,73.06,186,217.2,7.34,148.2,148.3,3.18,15,14.15,46.205,189.85,57.12,21.34,152.68,135.35,293
82.17,21.81,11.57,20.185,1867.5,189.3,5.25,43.3,108.5,4.804,99.78,12.99,175.58,84.8,50.56,176.2,34.88,87.85,119.65,503.8,57.88,145.1,2.358,191.88,84.43,96.95,5.831,0.2615,28.16,584,6.6,3.223,8.378,83.32,63.48,53.22,4.264,3.643,115,1458,8.667,78.2,19.43,31.43,21.375,14.89,299,60.67,211,9.307,83,347.3,157.25,29.71,124.9,13.41,35,117.95,4.756,13.09,15.398,9.171,68,9.264,51.9,67.06,14.385,44.44,128.2,35.96,50.06,559.5,503.6,109.5,717.1,1501,6.476,24.21,137.7,73.7,12.464,2.517,29.04,336.6,64.88,6.076,914,262.3,60.89,43.73,2.522,7.908,290.05,1331.5,3230,179.3,83.32,35.55,5.082,160,207.1,14.37,35.72,771,1805.5,7.238,26.98,252.3,662.8,1.3975,99.24,41.24,67.47,4.5655,100.16,31.7,80.8,643.8,39.94,95.64,116.54,524,339.4,180.2,42.42,86.26,701.3,68.06,1184.5,21.68,72.98,185.95,216,7.294,146.3,147.7,3.171,14.965,14.058,46.285,189.7,56.42,21.28,152.4,133.15,292.5
82.42,21.85,11.62,20.29,1869.5,190.85,5.242,43.23,108.5,4.838,100.04,13.02,175.56,85.04,50.8,177.1,34.82,87.85,119.9,503.8,57.88,145.2,2.3705,192.3,84.57,97.09,5.839,0.2615,27.96,584,6.64,3.233,8.384,83.44,63.72,53.36,4.288,3.646,115.25,1462,8.705,78.2,19.41,31.46,21.35,14.885,300,60.77,210.5,9.321,83.36,347.5,157.05,29.8,125,13.415,35.02,118.3,4.764,13.13,15.382,9.2,68.06,9.34,51.9,67.46,14.4,44.72,128.2,36.02,50.06,558.5,503.2,109.4,717.4,1498,6.478,24.27,136.75,73.82,12.478,2.5215,29.12,337.1,65.08,6.082,913.5,262.4,61.17,43.92,2.53,7.928,291.5,1330,3236,179.3,83.3,35.53,5.09,160,207.2,14.38,35.815,772.5,1799,7.288,27.35,252.9,663.8,1.398,99.72,41.31,67.66,4.5845,100.16,31.68,81,644.4,40.035,95.7,116.58,526,339.3,180.7,42.06,86.02,702.3,68,1191.5,21.63,73,185.85,216.8,7.314,146.6,147.6,3.182,14.955,14.122,46.49,189.95,56.6,21.34,151.9,133.95,292.7
82.7,21.94,11.63,20.285,1870,190.05,5.25,43.35,108.4,4.834,100.04,13,175.74,84.7,50.64,177.7,34.9,87.75,120.3,505.4,57.86,145.4,2.3825,192.58,84.53,96.9,5.85,0.2616,27.94,584,6.625,3.236,8.406,83.4,63.84,53.33,4.286,3.652,115.5,1465,8.712,78.3,19.45,31.39,21.37,14.895,299.6,60.75,210.4,9.305,83.44,348.1,157.15,29.91,125.05,13.4,35.11,118.15,4.765,13.135,15.378,9.202,68.16,9.32,51.89,67.64,14.405,44.64,128.2,36.07,50.02,559,504.8,109.4,718.2,1502,6.466,24.31,136.8,73.94,12.51,2.5235,29.15,337.9,65.22,6.076,915.5,263.3,61.24,43.89,2.534,7.944,291.85,1336.5,3238,179.55,83.6,35.67,5.102,160,207.4,14.37,35.805,773,1803,7.294,27.51,253.3,664,1.4045,99.6,41.45,67.55,4.587,100.26,31.75,81.04,645.6,40.01,95.76,116.14,526,339.7,180.7,42.08,86.24,705.2,68.08,1189.5,21.54,72.92,186.05,216.4,7.317,146.9,147.8,3.186,14.955,14.166,46.48,189.5,56.76,21.34,152.48,134.15,293.8
83.03,21.97,11.66,20.285,1870.5,190.3,5.254,43.38,108.55,4.838,100.04,12.99,175.9,84.4,50.62,177.3,34.88,87.55,120.5,506,57.94,145.6,2.3915,193.26,84.73,97.14,5.869,0.2615,28.04,584.5,6.62,3.244,8.414,83.65,64.04,53.42,4.294,3.66,115.75,1470,8.77,78.45,19.45,31.42,21.365,14.95,299.8,60.81,210.3,9.363,83.66,348.3,157.2,29.85,125.05,13.4,35.05,118.05,4.763,13.145,15.4,9.21,68.08,9.324,51.88,67.78,14.405,44.66,128.2,36.14,50.04,559.5,506.6,109.5,718.5,1503,6.478,24.16,136.75,74.2,12.506,2.5275,29.15,338.1,65.28,6.072,915,263.6,61.25,43.94,2.536,7.964,292.7,1331,3244,179.8,83.82,35.7,5.118,160,207.6,14.375,35.77,776,1807.5,7.284,27.58,253.6,665,1.4085,99.64,41.44,67.64,4.5905,100.4,31.71,81.36,645.8,40.045,95.9,116.3,526.5,339.8,181,42.02,86.2,706,68,1190,21.43,73.06,186.7,216.6,7.335,146.9,147.7,3.182,14.975,14.18,46.535,189.85,56.64,21.35,152.66,134.1,293.6
82.34,21.91,11.62,20.28,1870,189.95,5.238,43.22,108.3,4.856,100.14,13.01,175.08,84.48,50.7,177.05,34.84,87.75,120.25,505.2,57.82,145.3,2.382,192.86,84.55,96.99,5.843,0.2611,28.12,585,6.64,3.232,8.406,83.55,63.9,53.25,4.279,3.645,115.6,1470,8.741,78.65,19.43,31.27,21.32,14.865,300,60.55,209.7,9.281,83.4,347.3,157.2,29.84,125.15,13.335,35.01,118.1,4.752,13.14,15.35,9.216,68,9.318,51.88,67.64,14.36,44.82,128,36.04,50.02,558,505.6,109.2,719.2,1500,6.468,24.13,136.7,74.06,12.442,2.5115,29.13,336.4,65.12,6.078,913,263,61.26,43.93,2.526,7.96,291.25,1326,3242,178.55,83.44,35.64,5.098,160,207.6,14.325,35.67,774,1805.5,7.258,27.26,254.5,665,1.405,99.64,41.35,67.54,4.5655,100.36,31.65,81.1,644.8,40,95.46,116.06,527,338.9,181,42.01,85.72,704.8,67.86,1187.5,21.55,72.96,185.9,216.2,7.307,146.9,147.4,3.18,14.915,14.116,46.61,189.6,56.66,21.34,152.06,134.05,292.5
82.55,21.88,11.63,20.305,1873,189.8,5.254,43.26,108.3,4.858,100.08,13,175.14,84.38,50.68,177,34.9,87.55,120.4,505.6,57.84,145.4,2.3975,192.64,84.58,96.94,5.856,0.2614,28.16,585.5,6.675,3.236,8.408,83.64,63.84,53.29,4.305,3.647,115.65,1472,8.72,78.65,19.45,31.35,21.335,14.865,299.8,60.58,209.7,9.294,83.52,347.4,157.35,29.83,125.15,13.335,35.01,118.25,4.746,13.13,15.366,9.214,68,9.362,51.84,67.78,14.405,44.8,128.1,36.105,50.02,558,504.6,109.1,719.6,1502,6.48,24.15,136.55,73.94,12.458,2.5195,29.17,336.8,65.18,6.07,913.5,263.4,61.37,43.94,2.534,7.982,290.8,1333,3250,178.85,83.46,35.7,5.102,160,207.7,14.325,35.68,774,1809.5,7.296,27.5,254.4,664.8,1.408,99.72,41.34,67.56,4.5795,100.28,31.61,81.14,645.6,40.045,95.6,116.04,526,339.2,181.2,41.98,85.76,705.2,68.04,1188.5,21.51,73,186.1,215.8,7.314,146.8,147.8,3.189,14.915,14.152,46.61,189.85,56.62,21.31,152.12,134,292.9
82.48,21.9,11.63,20.28,1875,189.75,5.256,43.34,108.35,4.858,100.02,13.02,175.16,84.3,50.66,176.8,34.9,88.05,120.4,505.8,57.86,145.4,2.4115,192.7,84.52,96.76,5.864,0.2617,28.16,585.5,6.67,3.24,8.414,83.57,63.72,53.28,4.339,3.645,115.6,1471,8.722,78.55,19.46,31.29,21.32,14.825,299.8,60.45,209.5,9.303,83.48,347.8,157.3,29.78,125.05,13.34,35.01,118.35,4.748,13.135,15.358,9.191,68,9.364,51.8,67.64,14.42,44.84,128.2,36.13,50.02,559.5,503.8,109.2,719,1503,6.47,24.09,136.65,74.12,12.466,2.518,29.18,337.3,65.36,6.08,915,263.5,61.44,43.86,2.532,7.972,290.75,1333.5,3238,179,83.3,35.76,5.112,160,207.3,14.345,35.62,776,1809.5,7.308,27.42,255.1,665.4,1.4085,99.62,41.36,67.55,4.571,100.34,31.62,80.8,645,40.02,95.38,115.8,526,338.7,181.3,42.02,85.7,707.2,68.02,1189.5,21.46,73,185.7,216.2,7.311,146.6,147.7,3.198,14.89,14.188,46.605,190.15,56.64,21.28,151.42,133.2,292.6
82.43,21.9,11.625,20.255,1871,189.95,5.25,43.34,108.2,4.888,99.84,13.02,175.12,84.34,50.68,176.6,34.84,88.2,120.6,505.4,57.84,145.4,2.4245,193.04,84.58,96.69,5.851,0.2617,28.14,585,6.65,3.238,8.418,83.76,63.72,53.24,4.34,3.649,115.45,1471,8.726,78.55,19.43,31.26,21.285,14.835,300.2,60.56,209.9,9.309,83.44,347.6,157.45,29.88,125.1,13.36,35.06,118.5,4.752,13.13,15.362,9.161,68.02,9.376,51.77,67.8,14.455,45,128.1,36.09,50,558,504,109,717.3,1502,6.454,24.09,136.9,74.06,12.456,2.5185,29.17,337.6,65.32,6.088,915.5,263.4,61.44,43.84,2.524,7.976,290.75,1326.5,3242,179.15,83.22,35.7,5.112,160,207.6,14.32,35.635,775,1807,7.314,27.28,255,664.2,1.4105,99.44,41.26,67.59,4.568,100.42,31.55,80.76,643.8,40,95.28,116.06,527,338.6,181.6,42.11,85.68,707.4,68,1188.5,21.42,72.94,185.8,215.8,7.313,146.8,147.5,3.211,14.865,14.204,46.585,190,56.7,21.3,152,133.55,292.3
82.58,21.89,11.605,20.225,1870,189.95,5.244,43.29,108.05,4.86,99.83,13.04,174.92,84.46,50.68,176.8,34.84,88.25,120.75,505.2,57.78,145.2,2.4255,192.92,84.6,96.65,5.841,0.2613,28.14,583.5,6.64,3.234,8.418,83.65,63.74,53.2,4.323,3.66,115.55,1474,8.695,78.6,19.44,31.23,21.255,14.81,299.6,60.51,209.7,9.296,83.32,346.9,157.25,29.85,125,13.345,34.98,118.55,4.758,13.14,15.352,9.156,68.14,9.366,51.69,67.8,14.45,44.94,128,36.065,50.02,558.5,504.6,108.9,717.3,1502,6.458,24.17,137.05,74,12.44,2.516,29.13,337,65.24,6.072,915,263,61.36,44.01,2.522,7.974,290.3,1326,3250,178.8,83.18,35.67,5.112,160,207.2,14.3,35.64,774.5,1805.5,7.288,27.21,254.1,665,1.4085,99.36,41.18,67.54,4.566,100.56,31.52,80.62,645,39.945,95.32,116.14,527.5,338.3,181.6,42.16,85.72,706.5,68.02,1188,21.42,72.92,186.05,215.8,7.306,146.9,147.5,3.201,14.86,14.176,46.575,189.5,56.84,21.26,151.9,133.45,292.4
