ABC1,ABC11,ABC23,ABC24,ABC27,ABC28,ABC29,ABC32,ABC33,ABC34,ABC35,ABC36,ABC37,ABC38,ABC5,ABC6,ABC7,ABC8,ABC9,AC101,AC102,AC104,AC106,AC107,AC108,AC109,AC110,AC111,AC53,AC57,AC67,AC71,AC94,AC95,AC96,AC98,AC99,DH16,DH32,DH38,DH42,DH48,DH51,DH52,DH56,DH58,DH59,DH61,GJ13,GJ15,GJ16,GJ17,GJ18,GJ19,GJ22,GJ4,GJ7,GJ9,IB113,JR10,JR14,JR15,JR16,JR17,JR18,JR22,JR28,JR32,JR33,JR5,MC110,MC114,MC122,MC127,MC129,MC130,MC132,MC133,MC138,MC140,MC142,MC143,MC145,MC146,MC148,MC149,MC53,MC79,MC89
0,-7.43562254640851e-06,0,0,0,0,0,0,0,0,-3.90256728542341e-06,0,0,0,4.04688042570268e-06,3.199846372573e-06,0,0,0,0,0,0,0,0,0,0,0,1.34754175318751e-06,0,0,0,2.25340068191761e-07,0,0,0,0,0,0,0,0,7.66418984372534e-06,0,0,2.46671770842251e-06,6.06244968625549e-07,0,3.14564623822736e-05,0,0,0,0,0,0,0,0,2.78092591365255e-05,0,0,0,0,0,1.04435544791403e-06,0,0,0,0,-7.67473171277291e-07,1.32233286676553e-05,7.75966889916314e-09,-2.59701423194423e-06,0,0,-1.04538867827384e-06,0,0,0,0,0,-2.41967540621742e-06,0,0,0,0,0,0,0,0,0,0
4.55282047592108e-06,2.45323037382099e-06,-1.59202802317701e-05,7.67031032533099e-06,-4.05617064607621e-06,-7.57780544832661e-07,-1.6647453628117e-05,-2.23212129209036e-05,2.80112087927207e-05,1.16946582034765e-06,1.11795476931111e-05,-7.48743159364618e-06,7.95831781339574e-06,7.46837907955422e-06,-7.19494065868756e-06,-1.07226888696045e-07,-2.10183474823378e-06,2.74166134096386e-06,2.73930345284719e-06,4.48634783696866e-06,2.68058923724279e-07,1.61886882748625e-06,-1.48231251397058e-06,1.28465888832679e-05,7.56173040827109e-08,-4.31920013878535e-06,1.15386748120268e-06,3.36668092852834e-06,-1.92152660368859e-06,7.89693947392222e-06,-1.26445689857272e-05,-1.42411125420726e-06,-6.36969868957378e-07,-1.95572623448192e-06,1.11863445327599e-05,1.08643663392957e-05,-1.99547731589943e-06,-5.97782336944053e-06,-2.16002870897514e-06,-2.96156792838813e-06,-1.13201849190624e-05,1.43284106502736e-05,1.06346911670415e-05,7.40484283468239e-06,-1.17319131054973e-05,-4.14666484342707e-05,-1.74821813887913e-05,4.74056258179261e-06,4.62428808291731e-06,-9.31550247597752e-06,4.49747071823845e-06,2.67229639907169e-05,-4.37300183249753e-06,2.21308333645008e-05,1.30202099490406e-05,-1.43108803296156e-05,-7.3794649484839e-06,-3.03265499315114e-05,-6.23880460400609e-06,4.60587136189341e-05,4.30733811803739e-07,-8.98895575979335e-06,5.98469871781075e-06,9.06011557147045e-06,8.97137770508043e-06,1.65295246714192e-06,-2.06238936642186e-06,1.22425343673662e-05,1.19067652959213e-05,4.43874655770581e-07,5.34993480280518e-06,-1.22068192061378e-06,4.14230615768095e-06,-1.19810316989301e-05,8.68990796672019e-06,9.12937173061211e-06,-1.58043542334687e-05,2.70404058803171e-06,-5.52501861744546e-07,-8.45481479883929e-08,-1.06426338938929e-06,-3.70904219401459e-06,5.14223653949442e-06,7.39907096515977e-08,-1.10687045874434e-06,-2.19175636834738e-06,-3.73624061085113e-06,-8.64377729442405e-06,-8.5143881441872e-07
9.14402763199998e-06,-1.93236122391266e-06,-7.71274666982236e-08,1.64527047629419e-05,8.18437866943512e-06,-3.04372318401876e-08,-4.613594203694e-06,2.72541309277984e-05,5.86695380836438e-07,1.06958262068312e-05,-1.26062186934114e-06,2.54364782554715e-05,4.96686078483111e-06,1.33804301588409e-06,-1.84189499218806e-05,-1.50178121104964e-06,7.89940460561538e-06,4.45817980265962e-06,1.76535800389034e-06,-1.12053825708279e-06,-3.14240498421934e-07,-2.97365566256446e-06,4.93711297611994e-07,-6.40101454416013e-06,2.29379294547871e-06,2.89950274196483e-07,-6.02353247712756e-07,-2.01675572530208e-06,9.01545790533178e-06,1.68808520403468e-05,-1.26500596392958e-05,3.90853536600307e-07,2.12408566473173e-06,-6.63893018090001e-06,-1.05024102168664e-06,-1.14076093387711e-05,-7.48574758573484e-06,8.92513994972317e-06,-1.20805729342292e-07,1.13564532218198e-05,8.54042404723799e-06,-8.44653179485915e-06,-4.93410844163498e-06,1.72188440430259e-06,2.4946361660939e-06,-1.33700879095742e-05,-1.43227854857245e-05,-8.18191360486863e-06,-5.54127380976156e-06,-3.77158298977754e-07,0,2.95867318250057e-05,2.52619880123338e-06,-3.79526824681661e-05,3.13988627365814e-06,-1.29081727884707e-05,4.36904051824348e-05,-2.39660110633671e-05,2.41672777925237e-05,-4.12460920691386e-06,7.25465307852785e-06,-4.8549867721159e-05,1.45307126002114e-05,-2.23502338177984e-06,-1.41038657163716e-05,-1.21116921779954e-05,5.57909833366493e-06,-2.00678708064885e-05,2.8612050322676e-05,7.88421393971161e-06,2.93763751886783e-06,8.19450468179018e-08,-1.63816929539256e-06,-7.42492403661177e-07,1.02666786646112e-06,5.04838449438908e-06,8.86224998883072e-06,-1.84813243099263e-05,-1.97002110661997e-05,2.91580795644872e-06,-1.81927375518736e-06,5.87722393056924e-06,5.51408101188725e-06,-4.40334917987658e-07,-1.73705226217009e-06,-4.03637068784336e-06,2.50815881360147e-07,-3.03795598130382e-05,-3.41991368990873e-08
-1.04752469221569e-05,1.07616946446258e-05,-3.94564078515106e-07,-1.4993340867858e-05,-1.19015878247354e-05,4.63306222432559e-07,3.69521573973974e-06,2.94985684610594e-05,8.72316993614717e-06,4.20033132775921e-06,4.66558786344222e-07,8.25477100868742e-06,1.6984443115836e-05,5.13532893151599e-06,-1.2979582010588e-05,5.08451062395934e-06,-8.20277804546958e-06,-7.70132545648719e-06,-1.84419184498792e-05,-5.6040012436305e-06,-3.3872715268442e-06,1.37776965063903e-05,-1.97536874431579e-06,0,-3.9272192200256e-06,1.47305603466288e-06,2.67791661278967e-06,0,1.75982229278986e-05,7.50792892062634e-06,1.78317651741766e-07,2.110623081081e-07,-4.78942979358849e-07,1.09118347785561e-05,5.18276299361135e-06,-2.71535095686502e-05,-3.09838637623619e-06,-1.15207771835207e-05,-4.22110407485006e-06,2.65871848233972e-05,-4.5047022186614e-06,-1.43742639017576e-05,-3.33268978715686e-06,-3.75873128311585e-05,9.81160114589858e-06,2.85583793189445e-05,5.6472875814519e-06,1.90146887705249e-06,5.32072656525797e-06,8.37484867627687e-06,0,1.8350784999699e-05,8.35931265447864e-06,2.34973889248996e-05,3.30217073413008e-05,1.06548945330306e-06,-9.97018702343815e-06,-2.0257391457908e-05,3.68474134416877e-05,6.82081839344087e-06,0,8.99965575409038e-06,9.2831497931395e-07,2.06589827997049e-06,2.64591256490733e-05,-1.38465602321352e-05,8.69435060880895e-07,3.66275245714169e-06,7.42789807372587e-06,-2.65870064173802e-06,-3.38663153505875e-05,4.1631154190268e-07,5.19466427115692e-06,-5.07541572965349e-06,-1.19166559625675e-06,-5.75283863649787e-06,7.13375418457358e-06,2.65566710090556e-05,1.19972259345657e-06,-3.49912335360591e-06,2.83052088039048e-06,-6.97347351601312e-06,-6.52768010771556e-06,6.64381032947465e-06,5.76104628833615e-06,4.73431802611684e-06,-7.10623172465744e-05,-1.35595036390368e-05,5.20568789250067e-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.04754373837534e-06,0,-1.73626499986336e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74628669678766e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.580755833353e-06,0,1.18368995711475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95754385969034e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64481325040508e-06,0,3.21832084624853e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03026281319396e-06,0,0,0,0,0
1.67753431172466e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52612425350334e-06,0,1.48487625038482e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-2.72057748056798e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18172522785434e-05,0,1.3490982442219e-05,0,0,0,-1.9146692171972e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28850463068905e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84411701408069e-05,0,2.96933779879377e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.93402615863293e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.84944912486973e-06,0,-1.54706288724858e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45218193444009e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71070550333144e-05,0,2.00300044223775e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55068318250164e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85199420749765e-05,0,-1.96521121836166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.74729720995984e-07,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.73881334524218e-06,0,-1.06997613738128e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10014214143814e-06,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71358911438346e-06,0,-9.71215775791633e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.61113071300804e-06,0,0,0,0,0
