ABC1,ABC11,ABC23,ABC24,ABC27,ABC28,ABC29,ABC32,ABC33,ABC34,ABC35,ABC36,ABC37,ABC38,ABC5,ABC6,ABC7,ABC8,ABC9,AC101,AC102,AC104,AC106,AC107,AC108,AC109,AC110,AC111,AC53,AC57,AC67,AC71,AC94,AC95,AC96,AC98,AC99,DH16,DH32,DH38,DH42,DH48,DH51,DH52,DH56,DH58,DH59,DH61,GJ13,GJ15,GJ16,GJ17,GJ18,GJ19,GJ22,GJ4,GJ7,GJ9,IB113,JR10,JR14,JR15,JR16,JR17,JR18,JR22,JR28,JR32,JR33,JR5,MC110,MC114,MC122,MC127,MC129,MC130,MC132,MC133,MC138,MC140,MC142,MC143,MC145,MC146,MC148,MC149,MC53,MC79,MC89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.38705553283081e-05,-5.23844019575374e-06,-1.33729910632457e-05,-1.83410581160344e-05,-3.52321039320441e-05,0,-2.96695622533239e-05,-4.1736960610467e-06,-1.28677962745894e-05,-4.10770897362606e-05,0,-3.43499621360368e-05,-2.9778037317123e-05,6.50308142052821e-06,-3.34331349514273e-05,-1.03464610599144e-06,-3.06063622542669e-05,7.08302495520064e-06,-4.66725460564454e-05,-6.75103405073841e-06,7.17700340981686e-06,-2.89054333853922e-05,-7.95293654617096e-06,6.69455260266659e-06,-1.288739989204e-05,0,-3.61621461069702e-06,6.88005856591279e-07,1.20165825170756e-05,-1.19207677065616e-05,-1.89775839947972e-05,-6.45948744932864e-07,-2.35735864657304e-06,-3.11935489204999e-05,-2.08652170001794e-05,-4.05413555396731e-05,-1.20242213004269e-05,-2.6015440192327e-06,0,2.45047644889833e-05,0,-1.89364530867916e-05,-1.78983026804353e-05,5.36838686568686e-06,-1.54164686196574e-05,-6.33392374819365e-05,-4.85583330650678e-06,-6.93718101449022e-06,2.89607221676932e-05,-2.09672069211617e-05,-7.4805899117703e-07,1.24711816905137e-05,-1.7844544943154e-05,-0.000100048212406518,0,-3.17821757510134e-05,-0.000205806140196162,-7.22256973444007e-05,-7.41211703567673e-05,2.06611398749986e-05,-7.42493091023824e-06,6.23458156045262e-05,-1.64813987749235e-05,0,-5.33159056296129e-05,-5.42525044905427e-06,-2.57763013155907e-05,-3.27979712216866e-05,1.22523676839599e-05,2.05235667418313e-06,-5.71326422600442e-05,0,2.21835821778991e-06,-9.87901273692432e-07,-3.21573538416932e-06,-0.000131598989827245,0,-3.34463883561982e-05,-4.18666928553062e-05,-3.17175159736136e-06,1.63800258900436e-06,-7.02388225744354e-05,-2.70976034898028e-05,0,-6.90438265508956e-06,0,-1.46603741606118e-05,-1.5638562368554e-05,0
