item,name,r_color,latex_col,latex_col_def
ABC1,ABC1,#FF0000FF,FF0000,"\definecolor{ABC1}{HTML}{FF0000}
"
ABC11,ABC11,#FF1100FF,FF1100,"\definecolor{ABC11}{HTML}{FF1100}
"
ABC23,ABC23,#FF2300FF,FF2300,"\definecolor{ABC23}{HTML}{FF2300}
"
ABC24,ABC24,#FF3400FF,FF3400,"\definecolor{ABC24}{HTML}{FF3400}
"
ABC27,ABC27,#FF4600FF,FF4600,"\definecolor{ABC27}{HTML}{FF4600}
"
ABC28,ABC28,#FF5700FF,FF5700,"\definecolor{ABC28}{HTML}{FF5700}
"
ABC29,ABC29,#FF6800FF,FF6800,"\definecolor{ABC29}{HTML}{FF6800}
"
ABC32,ABC32,#FF7A00FF,FF7A00,"\definecolor{ABC32}{HTML}{FF7A00}
"
ABC33,ABC33,#FF8B00FF,FF8B00,"\definecolor{ABC33}{HTML}{FF8B00}
"
ABC34,ABC34,#FF9C00FF,FF9C00,"\definecolor{ABC34}{HTML}{FF9C00}
"
ABC35,ABC35,#FFAE00FF,FFAE00,"\definecolor{ABC35}{HTML}{FFAE00}
"
ABC36,ABC36,#FFBF00FF,FFBF00,"\definecolor{ABC36}{HTML}{FFBF00}
"
ABC37,ABC37,#FFD100FF,FFD100,"\definecolor{ABC37}{HTML}{FFD100}
"
ABC38,ABC38,#FFE200FF,FFE200,"\definecolor{ABC38}{HTML}{FFE200}
"
ABC5,ABC5,#FFF300FF,FFF300,"\definecolor{ABC5}{HTML}{FFF300}
"
ABC6,ABC6,#F9FF00FF,F9FF00,"\definecolor{ABC6}{HTML}{F9FF00}
"
ABC7,ABC7,#E8FF00FF,E8FF00,"\definecolor{ABC7}{HTML}{E8FF00}
"
ABC8,ABC8,#D6FF00FF,D6FF00,"\definecolor{ABC8}{HTML}{D6FF00}
"
ABC9,ABC9,#C5FF00FF,C5FF00,"\definecolor{ABC9}{HTML}{C5FF00}
"
AC101,AC101,#B4FF00FF,B4FF00,"\definecolor{AC101}{HTML}{B4FF00}
"
AC102,AC102,#A2FF00FF,A2FF00,"\definecolor{AC102}{HTML}{A2FF00}
"
