name,class,rows,cols,na_count,fn,timestamp
factor_local_tret,matrix,731,103,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/factor_local_tret.csv,2018-07-10 06:36:54
factor_ref_matrix,matrix,731,103,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/factor_ref_matrix.csv,2018-07-10 06:36:54
portfolio_30d_volume,numeric,0,0,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_30d_volume.csv,2018-07-10 06:36:54
portfolio_eur_px,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_eur_px.csv,2018-07-10 06:36:54
portfolio_eur_tret,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_eur_tret.csv,2018-07-10 06:36:54
portfolio_gbp_px,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_gbp_px.csv,2018-07-10 06:36:54
portfolio_gbp_tret,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_gbp_tret.csv,2018-07-10 06:36:54
portfolio_gbp_volume,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_gbp_volume.csv,2018-07-10 06:36:54
portfolio_local_px,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_local_px.csv,2018-07-10 06:36:54
portfolio_local_tret,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_local_tret.csv,2018-07-10 06:36:54
portfolio_volume,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/portfolio_volume.csv,2018-07-10 06:36:54
sheet_ref_matrix,matrix,731,681,0,N:/Depts/Share/UK Alpha Team/Analytics/market_data/sheet_ref_matrix.csv,2018-07-10 06:36:54
