date,V1
1COV GY Equity,0
A2A IM Equity,0
AAL LN Equity,0
AALB NA Equity,0
ABBN SE Equity,0
ABF LN Equity,0.000670481942393289
ABI BB Equity,0
ABN NA Equity,0.0146937526367634
AC FP Equity,0
ACA FP Equity,0
ACKB BB Equity,0
ACS SQ Equity,0
AD NA Equity,0
ADEN SE Equity,0
ADEN SW Equity,0.00758634122327015
ADM LN Equity,-0.00164104961394056
ADP FP Equity,0
ADS GY Equity,0
AENA SQ Equity,0
AF FP Equity,0
AGK LN Equity,0
AGM LN Equity,0.00099465120972369
AGN NA Equity,0
AGS BB Equity,-0.00506253460422015
AHT LN Equity,0.00561691579272578
AI FP Equity,-0.00417582203628307
AIBG ID Equity,0
AIR FP Equity,0
AKE FP Equity,0
AKERBP NO Equity,0
AKZA NA Equity,0
ALFA SS Equity,0
ALO FP Equity,0
ALT FP Equity,0
ALV GY Equity,0
AM FP Equity,0
AMBUB DC Equity,0
AMEAS FH Equity,0
AMS SE Equity,0
AMS SQ Equity,0
AMUN FP Equity,0
ANDR AV Equity,0
ANTO LN Equity,0
ARGX BB Equity,0
ARL GY Equity,0
ASCL LN Equity,0.00242004535812909
ASM NA Equity,0
ASML NA Equity,0.01204543318097
ASRNL NA Equity,0
ASSAB SS Equity,0
AT1 GY Equity,0
ATC NA Equity,0
ATCOA SS Equity,0
ATE FP Equity,0
ATL IM Equity,0
ATO FP Equity,0
AUTO LN Equity,0
AV/ LN Equity,-0.00595399937762695
AZA SS Equity,0.00300065469750398
AZN LN Equity,0
B4B GY Equity,0
BA/ LN Equity,0.00212492452834479
BAB LN Equity,0
BAER SE Equity,0
BAER SW Equity,-0.00325386827431724
BALDB SS Equity,0
BALN SE Equity,0
BAMI IM Equity,0
BARC LN Equity,0.00505136710135381
BARN SE Equity,0
BAS GY Equity,0
BATS LN Equity,0
BAYN GY Equity,0.0117745464210408
BB FP Equity,0
BBA LN Equity,0
BBVA SM Equity,-0.00590329062533454
BBVA SQ Equity,0
BBY LN Equity,0.00654220740770186
BCP PL Equity,0
BDEV LN Equity,-0.00503842265713012
BEI GY Equity,0
BESI NA Equity,0
BEZ LN Equity,0
BG AV Equity,0.00703563672185014
BILL SS Equity,0
BIM FP Equity,0
BION SE Equity,0
BIRG ID Equity,0.0107661929103307
BKG LN Equity,-0.00158673269377727
BKIA SQ Equity,0
BKT SM Equity,-0.00515457487802206
BKT SQ Equity,0
BLND LN Equity,-0.00713815644753646
BLT LN Equity,0
BME LN Equity,0
BME SQ Equity,0
BMW GY Equity,0
BN FP Equity,0
BNP FP Equity,0
BNR GY Equity,0
BNZL LN Equity,-0.00398419786453103
BOKA NA Equity,0
BOL FP Equity,0
BOL SS Equity,0
BOSS GY Equity,0
BP/ LN Equity,0
BPE IM Equity,0
BRBY LN Equity,0
BT/A LN Equity,0
BTG LN Equity,0
BUCN SE Equity,0
BVI FP Equity,0
BVIC LN Equity,0
BWY LN Equity,0.00591020406579116
CA FP Equity,0
CABK SM Equity,-0.0082462051037216
CABK SQ Equity,0
CAC Index,-0.0363245309943423
CAP FP Equity,0.0174251290452564
CAPC LN Equity,0
CARLB DC Equity,-0.00777196512922002
CAST SS Equity,0
CBG LN Equity,0
CBK GY Equity,0
CCH LN Equity,0
CCL LN Equity,0
CDI FP Equity,0
CERV IM Equity,0.0132131702588345
CEZ CK Equity,0
CFR SE Equity,0
CGG FP Equity,0.00442408307816537
CHR DC Equity,0
CINE LN Equity,0
CLN SE Equity,0
CLNX SQ Equity,0
CMBN SE Equity,0
CNA LN Equity,0
CNHI IM Equity,0
CNP FP Equity,0
CO FP Equity,0
COA LN Equity,0.00149793090353409
COB LN Equity,0
COFB BB Equity,0
COL SQ Equity,0
COLOB DC Equity,0
COLR BB Equity,-0.000954201364600652
CON GY Equity,0.0115683631692252
COV FP Equity,0
CPG LN Equity,0
CPI LN Equity,0
CPR IM Equity,0
CRDA LN Equity,-0.00676425524575326
CRH ID Equity,0.00591662925024386
CRH LN Equity,0
CS FP Equity,0
CSGN SE Equity,0
CSP LN Equity,0.00919523859086926
CTEC LN Equity,0
CYBG LN Equity,0
DAI GY Equity,0.00104059814476683
DANSKE DC Equity,0.00385475937659401
DAX Index,-0.0062937159029346
DB1 GY Equity,0
DBK GY Equity,0
DC/ LN Equity,0
DCC LN Equity,0
DEC FP Equity,0
DG FP Equity,0
DGE LN Equity,0
DHER GY Equity,0
DKSH SE Equity,0
DLG LN Equity,0
DLN LN Equity,0.00306626338190096
DMGT LN Equity,0
DMP GY Equity,0.00540177939208421
DNB NO Equity,-0.00608041549892094
DOKA SE Equity,0
DOM SS Equity,0
DPH LN Equity,0.00205645707885107
DPW GY Equity,0
