seqno,exposure_security_id,exposure_security_type,exposure_security_external_id,external_count,first_date,last_date,security_ticker,ticker_market_status,security_isin,isin_market_status,current_security_isin,current_isin_market_status,security_unique_id,buid_market_status,security_sedol,security_cusip,security_name
1,23321,Equity Index,/buid/EI09CAC,1,2012-03-14,2018-06-07,CAC,,,,,,EI09CAC,,,,CAC 40 Index
2,23287,Equity Index,/buid/EI09DAX,1,2011-10-28,2018-06-07,DAX,,,,,,EI09DAX,,,,Deutsche Boerse AG German Stock Index DAX
3,21449,Equity Index,/buid/EI09F3AERO,1,2017-04-25,2017-08-02,F3AERO,,,,,,EI09F3AERO,,,,FTSE 350 Aerospace & Defense Index
4,125034,Equity Index,/buid/EI09F3BANK,1,2016-01-18,2018-06-07,F3BANK,,,,,,EI09F3BANK,,,,FTSE 350 Banks Index
5,288832,Equity Index,/buid/EI09F3ENGN,1,2017-07-05,2017-09-14,F3ENGN,,,,,,EI09F3ENGN,,,,FTSE 350 Industrial Engineering Index
6,108753,Equity Index,/buid/EI09F3IGSS,1,2015-07-24,2015-11-04,F3IGSS,,,,,,EI09F3IGSS,,,,FTSE 350 Industrial Goods & Services Supersector Index
7,21432,Equity Index,/buid/EI09F3LEIS,1,2012-05-11,2017-12-13,F3LEIS,,,,,,EI09F3LEIS,,,,FTSE 350 Travel & Leisure Index
8,29005,Equity Index,/buid/EI09F3LIFE,1,2013-02-01,2016-03-01,F3LIFE,,,,,,EI09F3LIFE,,,,FTSE 350 Life Insurance Index
9,21426,Equity Index,/buid/EI09F3MEDA,1,2011-10-28,2017-12-05,F3MEDA,,,,,,EI09F3MEDA,,,,FTSE 350 Media Index
10,21437,Equity Index,/buid/EI09F3MNG,1,2012-09-04,2018-06-07,F3MNG,,,,,,EI09F3MNG,,,,FTSE 350 Mining Index
11,21440,Equity Index,/buid/EI09F3OESDE,1,2012-09-25,2013-04-24,F3OESDE,,,,,,EI09F3OESDE,,,,FTSE 350 Oil Equipment Services & Distribution Sector Index
12,21421,Equity Index,/buid/EI09F3OILG,1,2012-04-18,2018-06-07,F3OILG,,,,,,EI09F3OILG,,,,FTSE 350 Oil & Gas Producers Index
13,65284,Equity Index,/buid/EI09F3REITS,1,2014-07-17,2018-02-12,F3REIT,,,,,,EI09F3REITS,,,,FTSE 350 Real Estate Investment Trust Sector Index
14,21429,Equity Index,/buid/EI09F3RETG,1,2011-10-28,2018-06-07,F3RETG,,,,,,EI09F3RETG,,,,FTSE 350 General Retailers Index
15,342304,Equity Index,/buid/EI09F3SUPP,1,2017-11-21,2017-12-18,F3SUPP,,,,,,EI09F3SUPP,,,,FTSE 350 Support Services Index
16,195996,Equity Index,/buid/EI09F3UTLO,1,2016-09-22,2016-12-07,F3UTLO,,,,,,EI09F3UTLO,,,,FTSE 350 Gas Water & Multiutilities Index
17,23446,Equity Index,/buid/EI09FTSEMIB,1,2014-04-14,2018-06-07,FTSEMIB,,,,,,EI09FTSEMIB,,,,FTSE MIB Index
18,23261,Equity Index,/buid/EI09IBEX,1,2011-10-28,2018-06-07,IBEX,,,,,,EI09IBEX,,,,IBEX 35 Index
19,21418,Equity Index,/buid/EI09MCX,1,2011-10-28,2018-06-07,MCX,,,,,,EI09MCX,,,,FTSE 250 Index
20,23275,Equity Index,/buid/EI09MDAX,1,2011-10-28,2018-06-07,MDAX,,,,,,EI09MDAX,,,,Deutsche Borse AG DAX Mid-Cap Index
21,121938,Equity Index,/buid/EI09NDX,1,2018-03-22,2018-06-07,NDX,,,,,,EI09NDX,,,,NASDAQ 100 Stock Index
22,46740,Equity Index,/buid/EI09RUKM150,1,2013-12-06,2018-06-07,RUKM150,,,,,,EI09RUKM150,,,,Russell UK MID 150 GBP
23,139072,Equity Index,/buid/EI09S5BIOT,1,2016-05-16,2017-02-01,S5BIOT,,,,,,EI09S5BIOT,,,,S&P 500 Biotechnology Index Sub Industry Index GICS Level 4
24,116516,Equity Index,/buid/EI09S5PHAR,1,2015-10-01,2016-02-17,S5PHAR,,,,,,EI09S5PHAR,,,,S&P 500 Pharmaceuticals Sub Industry Index GICS Level 4
