ticker,field,value,override
BKT SM Equity,NAME,BANKINTER SA,""
BKT SQ Equity,NAME,BANKINTER SA,""
BLND LN Equity,NAME,BRITISH LAND CO PLC,""
BLT LN Equity,NAME,BHP BILLITON PLC,""
BME LN Equity,NAME,B&M EUROPEAN VALUE RETAIL SA,""
BME SQ Equity,NAME,BOLSAS Y MERCADOS ESPANOLES,""
BMW GY Equity,NAME,BAYERISCHE MOTOREN WERKE AG,""
BN FP Equity,NAME,DANONE,""
BNP FP Equity,NAME,BNP PARIBAS,""
BNR GY Equity,NAME,BRENNTAG AG,""
BUCN SE Equity,NAME,BUCHER INDUSTRIES AG-REG,""
BVI FP Equity,NAME,BUREAU VERITAS SA,""
BVIC LN Equity,NAME,BRITVIC PLC,""
BWY LN Equity,NAME,BELLWAY PLC,""
CA FP Equity,NAME,CARREFOUR SA,""
CABK SM Equity,NAME,CAIXABANK S.A,""
CABK SQ Equity,NAME,CAIXABANK S.A,""
CAP FP Equity,NAME,CAPGEMINI SE,""
CAPC LN Equity,NAME,CAPITAL & COUNTIES PROPERTIE,""
CARLB DC Equity,NAME,CARLSBERG AS-B,""
BAS GY Equity,NAME,BASF SE,""
BATS LN Equity,NAME,BRITISH AMERICAN TOBACCO PLC,""
BAYN GY Equity,NAME,BAYER AG-REG,""
BB FP Equity,NAME,SOCIETE BIC SA,""
BBA LN Equity,NAME,BBA AVIATION PLC,""
BBVA SM Equity,NAME,BANCO BILBAO VIZCAYA ARGENTA,""
BBVA SQ Equity,NAME,BANCO BILBAO VIZCAYA ARGENTA,""
BBY LN Equity,NAME,BALFOUR BEATTY PLC,""
BCP PL Equity,NAME,BANCO COMERCIAL PORTUGUES-R,""
BDEV LN Equity,NAME,BARRATT DEVELOPMENTS PLC,""
AMUN FP Equity,NAME,AMUNDI SA,""
ANDR AV Equity,NAME,ANDRITZ AG,""
ANTO LN Equity,NAME,ANTOFAGASTA PLC,""
ARGX BB Equity,NAME,ARGENX SE,""
ARL GY Equity,NAME,AAREAL BANK AG,""
ASCL LN Equity,NAME,ASCENTIAL PLC,""
ASM NA Equity,NAME,ASM INTERNATIONAL NV,""
ASML NA Equity,NAME,ASML HOLDING NV,""
ASRNL NA Equity,NAME,ASR NEDERLAND NV,""
ASSAB SS Equity,NAME,ASSA ABLOY AB-B,""
BNZL LN Equity,NAME,BUNZL PLC,""
BOKA NA Equity,NAME,BOSKALIS WESTMINSTER,""
BOL FP Equity,NAME,BOLLORE,""
BOL SS Equity,NAME,BOLIDEN AB,""
BOSS GY Equity,NAME,HUGO BOSS AG  -ORD,""
BP/ LN Equity,NAME,BP PLC,""
BPE IM Equity,NAME,BPER BANCA,""
BRBY LN Equity,NAME,BURBERRY GROUP PLC,""
BT/A LN Equity,NAME,BT GROUP PLC,""
BTG LN Equity,NAME,BTG PLC,""
1COV GY Equity,NAME,COVESTRO AG,""
A2A IM Equity,NAME,A2A SPA,""
AAL LN Equity,NAME,ANGLO AMERICAN PLC,""
AALB NA Equity,NAME,AALBERTS INDUSTRIES NV,""
ABBN SE Equity,NAME,ABB LTD-REG,""
ABF LN Equity,NAME,ASSOCIATED BRITISH FOODS PLC,""
ABI BB Equity,NAME,ANHEUSER-BUSCH INBEV SA/NV,""
ABN NA Equity,NAME,ABN AMRO GROUP NV-CVA,""
AC FP Equity,NAME,ACCOR SA,""
ACA FP Equity,NAME,CREDIT AGRICOLE SA,""
AGK LN Equity,NAME,AGGREKO PLC,""
AGM LN Equity,NAME,APPLIED GRAPHENE MATERIALS P,""
AGN NA Equity,NAME,AEGON NV,""
AGS BB Equity,NAME,AGEAS,""
AHT LN Equity,NAME,ASHTEAD GROUP PLC,""
AI FP Equity,NAME,AIR LIQUIDE SA,""
AIBG ID Equity,NAME,AIB GROUP PLC,""
AIR FP Equity,NAME,AIRBUS SE,""
AKE FP Equity,NAME,ARKEMA,""
AKERBP NO Equity,NAME,AKER BP ASA,""
B4B GY Equity,NAME,METRO AG,""
BA/ LN Equity,NAME,BAE SYSTEMS PLC,""
BAB LN Equity,NAME,BABCOCK INTL GROUP PLC,""
BAER SE Equity,NAME,JULIUS BAER GROUP LTD,""
BAER SW Equity,NAME,JULIUS BAER GROUP LTD,""
BALDB SS Equity,NAME,FASTIGHETS AB BALDER-B SHRS,""
BALN SE Equity,NAME,BALOISE HOLDING AG - REG,""
BAMI IM Equity,NAME,BANCO BPM SPA,""
BARC LN Equity,NAME,BARCLAYS PLC,""
BARN SE Equity,NAME,BARRY CALLEBAUT AG-REG,""
AKZA NA Equity,NAME,AKZO NOBEL,""
ALFA SS Equity,NAME,ALFA LAVAL AB,""
ALO FP Equity,NAME,ALSTOM,""
ALT FP Equity,NAME,ALTRAN TECHNOLOGIES SA,""
ALV GY Equity,NAME,ALLIANZ SE-REG,""
AM FP Equity,NAME,DASSAULT AVIATION SA,""
AMBUB DC Equity,NAME,AMBU A/S-B,""
AMEAS FH Equity,NAME,AMER SPORTS OYJ,""
AMS SE Equity,NAME,AMS AG,""
AMS SQ Equity,NAME,AMADEUS IT GROUP SA,""
ACKB BB Equity,NAME,ACKERMANS & VAN HAAREN,""
ACS SQ Equity,NAME,ACS ACTIVIDADES CONS Y SERV,""
AD NA Equity,NAME,KONINKLIJKE AHOLD DELHAIZE N,""
